Sample Name,Barcode,Barcode Quality,HiFi Reads,"HiFi Read Length (mean, bp)","HiFi Read Quality (median, QV)",HiFi Yield (bp)
2-0_1,bc1005--bc1033,97.7256610576923,3328,1657,Q60,5514556
2-0_2,bc1005--bc1035,95.78964646464647,3960,1587,Q60,6285865
2-0_3,bc1005--bc1044,98.2144387048003,7937,1648,Q60,13084180
2-0_4,bc1005--bc1045,98.49570316449298,9891,1689,Q60,16708246
2-0_5,bc1005--bc1054,96.10246875322797,19362,1626,Q60,31485644
2-0_6,bc1005--bc1056,97.0705079605762,1319,1564,Q60,2063923
2-0_7,bc1005--bc1057,98.65376023827253,2686,1557,Q60,4183758
2-0_8,bc1005--bc1059,98.41342925659472,16680,1594,Q60,26596412
2-0_9,bc1005--bc1060,96.16233766233766,154,2289,Q50,352642
2-0_10,bc1005--bc1062,96.25,44,2823,Q49,124213
2-1_1,bc1007--bc1033,99.50357904716758,21095,1535,Q60,32393739
2-1_2,bc1007--bc1035,99.2985247242673,35451,1531,Q60,54286090
2-1_3,bc1007--bc1044,99.43614406326815,37428,1534,Q60,57419712
2-1_4,bc1007--bc1045,99.65370263512214,25995,1536,Q60,39940457
2-1_5,bc1007--bc1054,99.53902072976268,21322,1532,Q60,32685633
2-1_6,bc1007--bc1056,99.6371854637237,38827,1528,Q53,59353746
2-1_7,bc1007--bc1057,99.67541737950563,16951,1534,Q60,26013716
2-1_8,bc1007--bc1059,99.37398437095689,38646,1533,Q36,59282424
2-1_9,bc1007--bc1060,99.74271581633545,57213,1527,Q60,87416521
2-2_1,bc1008--bc1033,99.55430020030045,31952,1530,Q45,48911134
2-2_2,bc1008--bc1035,99.14184457365987,23561,1533,Q60,36122769
2-2_3,bc1008--bc1044,99.29036924047969,38024,1533,Q45,58320628
2-2_4,bc1008--bc1045,99.58033107749469,60288,1532,Q57,92379135
2-2_5,bc1008--bc1054,99.4347870472457,48978,1529,Q44,74918965
2-2_6,bc1008--bc1056,99.50626015483131,10463,1537,Q60,16087242
2-2_7,bc1008--bc1057,99.53554922911968,27047,1531,Q60,41422008
2-2_8,bc1008--bc1059,99.5594976076555,41800,1531,Q46,64023808
2-2_9,bc1008--bc1060,99.41841517857142,26880,1532,Q50,41195103
2-2_10,bc1008--bc1062,99.58671305860607,36788,1528,Q40,56231916
2-3_1,bc1012--bc1033,98.40722721040294,22609,1619,Q60,36606365
2-3_2,bc1012--bc1035,99.00581511931021,19948,1537,Q60,30672020
2-3_3,bc1012--bc1044,99.1427455898534,84521,1534,Q60,129665604
2-3_4,bc1012--bc1045,98.03299776286353,8940,1560,Q41,13949934
2-3_5,bc1012--bc1054,99.33682242990655,26750,1534,Q60,41051903
2-3_6,bc1012--bc1056,99.37291368621841,18873,1541,Q60,29091567
2-3_7,bc1012--bc1057,99.47583568264197,29796,1532,Q60,45650363
2-3_8,bc1012--bc1059,98.52205924647684,52155,1554,Q60,81094725
2-3_9,bc1012--bc1060,97.65039140241475,7537,1548,Q60,11667661
2-3_10,bc1012--bc1062,97.86368985651563,44186,1536,Q60,67902053
2-4_1,bc1015--bc1033,99.04346277164233,14035,1537,Q54,21581419
2-4_2,bc1015--bc1035,99.13781976336342,21383,1533,Q43,32798554
2-4_3,bc1015--bc1044,99.36669480284577,24879,1532,Q46,38139128
2-4_4,bc1015--bc1045,99.51773028113425,32938,1533,Q43,50495781
2-4_5,bc1015--bc1054,99.45361884016276,24331,1530,Q60,37247508
2-4_6,bc1015--bc1056,99.60101134681796,8108,1538,Q60,12471958
2-4_7,bc1015--bc1057,99.60602703301574,18052,1533,Q60,27675970
2-4_8,bc1015--bc1059,99.21255357239733,18433,1535,Q40,28305199
2-4_9,bc1015--bc1060,99.04043249828676,13133,1533,Q50,20144821
2-4_10,bc1015--bc1062,99.31272136953955,33880,1530,Q45,51839682
2-5_1,bc1020--bc1033,99.30693228803094,18623,1540,Q60,28682582
2-5_2,bc1020--bc1035,99.3586584049195,42606,1530,Q60,65223341
2-5_3,bc1020--bc1044,99.3110672779614,37516,1536,Q46,57639919
2-5_4,bc1020--bc1045,99.51691826808516,142686,1527,Q60,217980863
2-5_5,bc1020--bc1054,98.28947368421052,152,2503,Q53,380516
