Sample Name,Barcode,Barcode Quality,HiFi Reads,"HiFi Read Length (mean, bp)","HiFi Read Quality (median, QV)",HiFi Yield (bp)
2-5_6,bc1020--bc1056,99.5189661256175,11336,1538,Q60,17443846
2-5_7,bc1020--bc1057,99.65829565030147,37152,1527,Q60,56735328
2-6_1,bc1022--bc1033,99.6673323680663,40058,1528,Q60,61247580
2-6_2,bc1022--bc1035,99.4584501473654,27822,1531,Q42,42603390
2-6_3,bc1022--bc1044,99.47983762269476,63063,1529,Q55,96436597
2-6_4,bc1022--bc1045,99.63270950493224,32541,1531,Q41,49834278
2-6_5,bc1022--bc1054,99.58711038961039,30800,1529,Q60,47118761
2-6_6,bc1022--bc1056,99.61793847164441,36536,1526,Q42,55788120
2-6_7,bc1022--bc1057,99.6879865556187,40463,1529,Q48,61874194
2-6_8,bc1022--bc1059,99.34509466437177,6972,1550,Q37,10807623
2-7_1,bc1024--bc1033,99.65976392202023,48628,1530,Q60,74425497
2-7_2,bc1024--bc1035,99.35194850382742,28740,1528,Q60,43928213
2-7_3,bc1024--bc1044,99.46813980534982,49011,1530,Q55,74999918
2-7_4,bc1024--bc1045,99.6870672943783,36110,1530,Q54,55273601
2-7_5,bc1024--bc1054,99.22846441947566,267,2212,Q60,590846
2-7_6,bc1024--bc1056,99.64112743152045,32747,1530,Q49,50120911
2-7_7,bc1024--bc1057,99.67457877959927,17568,1532,Q60,26922000
2-7_8,bc1024--bc1059,99.57917433605049,38030,1531,Q53,58245029
2-7_9,bc1024--bc1060,99.72643622002361,24561,1528,Q37,37543242
eb-3,bc1024--bc1062,99.6821985545835,5258,1543,Q60,8116548
No Name,Not Barcoded,0.0,363463,1587,Q60,576989978
