"ID","Bifidobacterium asteroides","Bifidobacterium coryneforme","Bifidobacterium polysaccharolyticum","Bifidobacterium sp1.","Bifidobacterium sp2.","Bombilactobacillus mellifer","Bombilactobacillus mellis","Lactobacillus apis","Lactobacillus helsingborgensis","Lactobacillus kullabergensis","Lactobacillus melliventris","Treatment"
"2-1_1",14.3618411331115,11.1919161316692,15.9992710537268,14.4143085530056,14.4143085530056,11.7768786323904,0,18.7076159699532,19.4151134038164,17.9401089812587,18.6527132923307,"A4-0"
"2-1_2",13.4637432113997,12.3262396876498,13.4305763474645,13.1941361516424,11.9585079031493,10.3262396876498,8.00431159276242,18.0071266083695,18.2119360609892,16.7954744813174,18.3874758533975,"A4-0"
"2-1_3",10.5424250114435,0,11.7350700893859,11.76481743278,10.5424250114435,8.15010758866477,7.15010758866477,17.11877438186,17.8387950118873,16.9893113767617,16.5982238940742,"A4-0"
"2-1_4",12.6610732698118,9.9730172761265,13.1250203695715,11.7572885850711,8.80309227468419,12.0510197881278,14.0319109651801,15.0792166799584,18.4360874718271,16.9259202694919,16.835138001615,"A4-0"
"2-1_5",14.0024412036957,0,15.0303472002656,13.5260031597527,11.7028809218368,13.4781746346621,15.453652315528,15.8604221988233,16.9739847576465,17.4464207462969,17.4598220827682,"A4-0"
"2-1_6",14.1168894667016,13.0958278511738,15.4881452739525,14.1168894667016,12.815719931981,8.00836500992343,14.6737009271086,15.6737009271086,18.6381769543057,16.9984689737809,18.5710844369728,"A4-0"
"2-1_7",0,0,9.20741942819455,8.3594225216396,9.3594225216396,0,0,16.572769803373,16.3205827797762,15.5688758872686,15.1667774436972,"A4-0"
"2-1_8",11.2814853001017,0,12.1990231399097,12.1115602986594,10.1115602986594,7.11156029865937,0,17.9834655363186,17.6946430661623,18.2187773742508,17.6351222547164,"A4-0"
"2-1_9",8.8496282060205,0,10.1987777696429,9.38804812080463,0,5.7792388781291,11.1987777696429,15.3145142547499,13.4671394006098,15.1455610923749,15.7438685448497,"A4-0"
"2-2_1",15.3290557826195,0,16.1921739761991,16.1292862702437,13.8633922102707,13.3779653831004,0,16.3658925507998,18.4512143651311,16.9305064061292,20.4143221833934,"B4-0"
