"ID","Bifidobacterium asteroides","Bifidobacterium coryneforme","Bifidobacterium polysaccharolyticum","Bifidobacterium sp1.","Bifidobacterium sp2.","Bombilactobacillus mellifer","Bombilactobacillus mellis","Lactobacillus apis","Lactobacillus helsingborgensis","Lactobacillus kullabergensis","Lactobacillus melliventris","Treatment"
"1-1_1",11.6593868318107,0,12.3242026402211,12.0567223293561,9.47175982863491,9.82539678324961,13.3074593763865,14.1315575622787,16.5479816018285,16.3186431148792,11.1598158223202,"A1-0"
"1-1_10",5.39695272459583,0,6.42843095606899,5.9388465034251,2.30948988334549,3.11684480540309,9.48191739199097,11.031016347353,13.1204631033477,12.7388966248595,0,"A1-0"
"1-1_2",13.9091670459428,8.36484652971896,14.364846529719,13.7571639524977,11.9498090304401,11.9893373946268,15.7311687439648,14.466384556181,16.3872143427474,16.3890627671398,16.0904968106573,"A1-0"
"1-1_3",12.1718646143434,6.27186040432008,12.7682862304396,12.040044729097,9.39524281982536,9.8043554851471,0,16.2848839185862,17.237335506917,17.1838408215252,13.829187338127,"A1-0"
"1-1_4",11.6061879092206,0,13.387112792268,12.2252830948609,9.80678174027853,9.83426247670064,13.4813814534844,15.5136097863822,16.7427400710213,16.3946313643184,0,"A1-0"
"1-1_5",11.2371765424147,0,12.5126557146152,11.4131200410643,9.63207639612251,10.2428789017789,13.3911423651774,13.1072238024214,15.362618146053,15.5440278164076,0,"A1-0"
"1-1_6",8.92580820445454,0,9.66277379862075,10.5502990693623,0,4.75588320301223,12.8300246657647,15.2984314653474,17.9617527996187,16.128476236153,5.75588320301223,"A1-0"
"1-1_7",13.8254765991911,10.1932083836916,15.1750610369813,13.5855258064704,10.3307119074415,12.1932083836916,15.6526400023289,16.1450758880185,17.8797089108748,17.9129394404414,0,"A1-0"
"1-1_8",12.6940495667037,0,14.002171862066,13.1090870659825,9.30173214392493,11.6236602388123,14.4514792634296,15.3997642268855,18.3958098295968,17.4438392012275,15.8791609719607,"A1-0"
"1-1_9",11.6375154286767,6.90959497411347,12.6192532222839,11.1638362614893,10.3019123968922,11.3580554749298,14.0542532169454,15.0546779762715,16.8293273422105,16.5920044046576,14.9189570773172,"A1-0"
"1-2_1",13.8110999571181,10.7067632973034,13.954690810747,12.7067632973034,11.1921901244736,11.2917257980245,0,14.6516217431109,14.0852749205571,16.1629123319514,17.6574649873924,"B1-0"
"1-2_10",9.08929213855648,0,9.74640442503347,8.97381492113654,6.97381492113654,6.97381492113654,0,12.996182734165,11.9280112315234,13.09275599386,14.8317959162641,"B1-0"
"1-2_2",10.4696846351856,0,12.1541828094577,11.2472922138492,7.662329713128,10.9842578080154,0,14.1819659659712,12.8422388031429,13.1380631440944,16.2816326685437,"B1-0"
"1-2_3",10.6292186774769,0,12.1437918503066,10.8218637554193,10.1437918503066,10.5223034735604,0,15.7526010929822,13.5497842099825,14.7045068047811,17.5066123758409,"B1-0"
"1-2_4",7.89974262853366,0,12.1806989423647,9.6482038615377,8.42581144020125,8.06324136081654,0,15.7247649925784,12.1138674338865,13.5378164657144,16.8044675569241,"B1-0"
"1-2_5",10.0159134654249,0,11.6216345263128,9.39924210497638,8.66227651081018,11.1647768513394,0,15.3299794425393,13.1788520365511,14.6956995123476,17.2609493915622,"B1-0"
"1-2_6",12.0040301928015,10.5345449095003,12.5620256459224,11.4190676920804,10.7409957869677,11.1560332862466,0,16.3635357455054,15.9582265031884,14.9055675539158,17.7766196966984,"B1-0"
"1-2_7",11.6254002070876,0,12.0624640126964,11.6474265134176,8.30347211220021,8.92496048894648,0,15.4726262372999,13.622623122417,14.5189117728949,17.3436564385485,"B1-0"
"1-2_8",11.9606875574394,0,12.0334438998747,10.6262685183688,9.83967215647802,9.27263156375413,0,15.6700289038972,13.0607758818459,13.602552449395,15.9751249406632,"B1-0"
"1-2_9",10.0931150872756,0,9.45568516666036,7.28576016521804,8.56586808441078,5.47840524316044,0,13.9480470604,11.1788449613015,0,13.7741741775809,"B1-0"
"1-3_1",13.8222315134861,10.8222315134861,14.7291221090946,14.2436952819243,12.7697640935919,11.921767187037,15.5923054194642,16.6766546892004,16.8254482261696,17.5286041873809,14.3724285960465,"A1-B1"
"1-3_10",10.1567312853088,3.92791259481292,11.1946991355078,10.6960969195898,7.38734421345022,10.779661636229,0,16.0228150075643,14.9688871936302,16.4507392947387,14.0147122804364,"A1-B1"
"1-3_2",11.0242641356401,7.58369154425409,12.3559219454632,11.5158761600265,7.13890670158119,8.46083479646855,4.77633662219648,15.6676863669092,16.2105180336295,16.00154405914,13.8653141040488,"A1-B1"
"1-3_3",11.7948253339723,9.70875438384865,10.5659196056772,10.891759212335,10.2374486649231,10.1703344690645,0,16.8637384534486,15.2058536497443,16.2099063501817,16.558454287727,"A1-B1"
"1-3_4",12.2233957492985,10.1549160114157,13.127098067276,12.6574163519449,12.6070428294298,10.842972005101,0,17.1360075488657,17.1961188305991,17.4765936166695,15.1442316603851,"A1-B1"
"1-3_5",11.0594774026002,5.94400018518028,10.9737475285743,10.2659282800676,10.6444399033214,10.9440001851803,0,15.1139251866226,15.0954396157774,15.7000004487108,11.734077115806,"A1-B1"
"1-3_6",8.54003507628637,0,10.3176426549499,9.82014299547911,0,7.73268015422877,0,15.0635970323434,16.4235511635211,15.453779342936,12.5270960205789,"A1-B1"
"1-3_7",12.8376480727217,11.2331893963748,14.0107969750383,13.7451840251028,12.5726758626464,11.1883351605905,15.0064968376047,16.4651452341593,15.9176875706468,16.2174625232957,14.7567513524318,"A1-B1"
"1-3_9",8.61763344637346,0,10.7605914002155,9.4921025642896,6.76963653981851,6.61763344637346,12.182418065157,14.4170949662734,16.687605267377,15.0965153946569,12.5351712861815,"A1-B1"
"1-4_1",12.2836921206079,0,12.6622037438617,11.8197450208481,10.5467265264417,10.2836921206079,10.6622037438617,15.3368034570675,14.832128745304,11.8686546213291,16.7463988712781,"B1-A1"
"1-4_10",13.0068178732375,9.00681787323752,13.8647988683651,12.2798363676439,10.8812869911537,10.229210294574,12.1222950906575,15.868938598726,12.8141727952951,13.913708468846,16.6815986362071,"B1-A1"
"1-4_2",11.9599095674005,10.8343786853166,13.4302295021805,12.0188032564541,10.8985090227363,8.6968751615667,11.5448720681216,13.4624099079297,14.5746194115157,12.1028675212425,16.735794150859,"B1-A1"
"1-4_3",0,0,0,0,0,0,0,16.7998511039979,16.6715270070223,10.8826921729355,18.36765888368,"B1-A1"
"1-4_4",14.3004157993518,10.9784877044644,15.2415221102982,14.031599040924,13.6107559199639,11.1159912282143,14.3430601367602,16.1683122633444,16.2415221102982,14.8853783000729,18.835846714223,"B1-A1"
"1-4_5",4.8073549220576,0,5.52356195605701,3.32192809488736,1,6,4.4594316186373,8.76818432477693,9.49185309632967,8.4594316186373,11.3744961456915,"B1-A1"
"1-4_6",10.34303621019,0,11.6895499433557,10.7693009648921,8.43049905144039,9.85083085038875,7.04347592833114,16.3405685577164,14.9371275004505,13.6901038673559,17.4142052440997,"B1-A1"
"1-4_7",10.8952307215325,0,11.2126196568047,10.3621960128552,8.27199820388362,7.96165808327147,9.88765750182769,14.5840028059957,15.3408631432321,14.0303288939366,16.3091465804833,"B1-A1"
"1-4_8",10.4412952374601,0,11.9718099541589,10.4412952374601,0,11.0787251580754,0,15.3561786238221,13.1782608316263,14.6550745284918,17.8259590876954,"B1-A1"
"1-4_9",9.82786166115512,0,10.5059335662678,10.5059335662678,9.50593356626776,8.50593356626776,10.3132884883254,14.6758585677101,13.3885766156296,14.1058464084549,16.6454849186666,"B1-A1"
