"ID","Bifidobacterium asteroides","Bifidobacterium coryneforme","Bifidobacterium polysaccharolyticum","Bifidobacterium sp1.","Bifidobacterium sp2.","Bombilactobacillus mellifer","Bombilactobacillus mellis","Lactobacillus apis","Lactobacillus helsingborgensis","Lactobacillus kullabergensis","Lactobacillus melliventris","Treatment"
"3-11_1",11.3396851797108,9.45516239713078,12.214154297627,10.1470401017684,10.3396851797108,8.33968517971084,0,12.3913472995333,13.0856395571043,13.1078695044878,11.8840056959347,"Am7-B1"
"3-11_10",12.2752936903964,9.93290149294931,12.9835275660193,11.6801354225693,0,9.12554657089171,0,12.6954021792227,13.8737394204812,13.9772956123078,12.1699406902502,"Am7-B1"
"3-11_2",11.6739417728012,11.300898362187,12.4362502150819,11.4145551439826,11.0980814791873,8.95512352534526,12.1645768909742,10.4576238658744,13.138345349401,13.6785000547635,13.1317122570686,"Am7-B1"
"3-11_3",9.48095618801584,0,11.1132244035154,9.91391559529194,8.74399059384963,9.15902809312848,11.2034222124869,11.4628088413056,12.920579325573,13.3239350198042,10.7737379372437,"Am7-B1"
"3-11_4",10.4472739708349,9.61077270311774,11.4472739708349,9.80341778106014,9.61077270311774,8.61077270311774,11.8695069715179,10.5038574992012,13.0030901258965,13.1609697856782,12.3425765921682,"Am7-B1"
"3-11_5",10.8479760227772,8.52604792788986,11.0703684441137,10.400517045806,10.2630135220561,10.6415251453098,0,11.0703684441137,14.5777100477124,13.8114501467521,13.4956742788463,"Am7-B1"
"3-11_6",11.522800545512,9.8412476579681,12.0279833039754,11.1288176289071,10.8770591516855,10.2364399653868,12.4846642697257,10.581451010294,13.2618028174968,13.8169221243362,12.4135185542005,"Am7-B1"
"3-11_7",11.1922891032662,7.10482626201587,12.4535544162469,11.3902284808781,9.27475126345818,9.68978876273702,12.6126209022146,11.8327467165791,13.9905226353553,13.6746818703468,11.2545733815205,"Am7-B1"
"3-11_8",9.98381481200074,6.46025285594373,10.5046469753022,10.7081803693873,9.78218095083109,5.46025285594373,8.26760777800133,12.3909901935066,16.1719198295081,13.8133996814418,6.46025285594373,"Am7-B1"
"3-11_9",8.21274944792389,0,9.21274944792389,7.58048123242437,7.84351563825817,7.78211509359403,11.135070084102,8.81314198921465,11.0201043699815,11.4083002570417,8.78211509359403,"Am7-B1"
"3-12_2",9.89554546580252,0,10.7149732201607,9.61543754660979,0,8.80808262455218,0,0,13.3703250487733,10.8955454658025,15.1765890860599,"Bm7-A1"
"3-12_3",8.85693954594806,5.9183400906122,9.08826509205451,7.6553056847784,6.79280920852834,7.79280920852834,4.33337758989104,4.33337758989104,8.79280920852834,10.6187798087533,12.8994316280621,"Bm7-A1"
"3-12_4",10.5219173854194,0,11.4479168039756,10.6594209091694,9.19998929053206,9.93695488469827,5.6150267898109,5.6150267898109,13.0907602207773,12.3015273169941,15.2874521317824,"Bm7-A1"
"3-12_5",9.37927081715287,0,9.63758281274426,8.95477298862496,7.87677047662368,6.95477298862496,0,2.70684547518137,12.859130317488,9.90651782001774,14.3534041853359,"Bm7-A1"
"3-12_6",10.9682024519762,0,10.9979497953703,10.6311674646986,9.42763407061351,10.0836796693962,0,6.96820245197622,10.7407919558731,12.7451837249903,15.2946319390985,"Bm7-A1"
"3-1_1",10.9617488239413,7.37678632322015,12.1379464223992,10.7971181221685,7.19621407757833,7.09667840402742,0,11.789169369053,13.9168573664426,14.1441918652301,0,"A1-0"
"3-1_10",8.11156530308636,4.94164030164405,9.79962129677162,8.74899522370165,8.69652780380752,3.94164030164405,0,12.6281408288273,15.6193599432851,12.511495909975,0,"A1-0"
"3-1_2",5.70501425928093,0,8.64361371461678,6.44197985344713,0,0,5.12005175855977,11.9046866041173,13.7584876725502,13.4798013188821,0,"A1-0"
"3-1_3",9.28242050795641,6.10488232240422,9.96523033207571,8.6073826629334,7.88248990106777,8.05241490251009,10.2899937276612,11.6224579833955,12.9939154146065,13.2652339971397,0,"A1-0"
"3-1_4",7.25792576978792,6.64494889289717,9.92962559248796,7.91503805626491,4.77987847298328,0,0,12.5565464911832,13.6226777646008,10.2037447316369,0,"A1-0"
"3-1_5",11.3159261175726,7.78343103674557,11.3114664693819,10.2048948051838,9.33362811930605,9.60543273476758,0,12.7541532442233,13.8042125988821,14.1988710175561,0,"A1-0"
"3-1_6",10.5721899729598,6.5159217533131,11.1279524972324,9.20623725418048,7.22641513611811,5.0564901346758,0,11.318584980046,14.6512812527651,13.1793181294835,0,"A1-0"
"3-1_7",10.1604505941956,7.17621791005389,11.0997391802065,9.9835728321115,9.47283491641207,8.23761845471804,0,12.2820125740765,13.9518639723842,14.0971532411007,0,"A1-0"
"3-1_8",8.99359104427577,5.96384370088172,9.88667584035926,8.90244315621757,8.37888120016056,0,9.2117712143253,11.8787270872438,14.6906295151655,13.2917705363905,0,"A1-0"
"3-1_9",6.46616629926985,0,7.91786226912754,6.58815682364846,4.18605838007712,0,3.70063155290687,11.7902144460316,14.1231168685772,12.2521475705349,0,"A1-0"
"3-2_1",7.18023107722046,0,9.48140061194103,9.87537649569204,7.03584116788529,8.10984174932906,0,11.4425496829697,8.23085715029043,11.5560979792186,13.8151285396015,"B1-0"
"3-2_2",9.27704886055409,3.40140919893001,9.95380383719473,9.85144211956506,8.81805595107051,8.00344521301011,0,10.9171090372141,11.5076917049215,10.1097541151564,13.4807034902444,"B1-0"
"3-2_3",6.97974050126049,5.39477800053933,9.61394652100149,10.6755487706699,8.20213292259694,7.22766801470407,0,11.8603444053487,12.2149569629545,10.8377214963881,14.0598918108746,"B1-0"
