"ID","Bifidobacterium asteroides","Bifidobacterium coryneforme","Bifidobacterium polysaccharolyticum","Bifidobacterium sp1.","Bifidobacterium sp2.","Bombilactobacillus mellifer","Bombilactobacillus mellis","Lactobacillus apis","Lactobacillus helsingborgensis","Lactobacillus kullabergensis","Lactobacillus melliventris","Treatment"
"2-5_1",11.7354857653457,9.26600048204444,12.974951700041,11.1505232646245,9.1505232646245,11.0891227199604,11.0891227199604,15.9991462050538,14.5683757795104,16.3721103858893,0,"A5-0"
"2-5_2",10.8293017488831,0,11.5455087828825,10.3438749217129,0,0,0,18.0546813554122,14.7200726791284,16.4397993417114,0,"A5-0"
"2-5_3",7.94868311322032,0,10.9028794236072,9.11860811466263,0,0,0,18.0414402541402,15.5051891678922,16.8682913518236,0,"A5-0"
"2-5_4",11.0306671362469,8.11894107272351,11.6137894644726,10.8249587405285,11.1598713367784,9.04439411935845,11.6101020629997,14.2367616635716,14.5182843214541,13.9989429514431,1,"A5-0"
"2-5_6",11.0477176773524,10.1169803397896,12.2565316921884,10.9243352618472,11.4023825586518,10.2869053412319,12.7243106535392,14.4723314362144,14.4745323444076,14.9796176973484,0,"A5-0"
"2-5_7",9.56317105080548,7.1617226162746,9.6894602483028,9.73864779793033,6.25483202066608,6.42475702210839,8.87688384012245,11.2335424797724,12.9819015786898,12.9975624971853,0,"A5-0"
"2-6_1",13.2552509437378,0,14.2552509437378,13.1829000995131,13.1579537423829,14.0759848955966,0,13.8506300604043,15.952067315376,15.8218014073451,18.2459098970389,"B5-0"
"2-6_2",13.3524435153255,0,14.6874277630383,13.4779743974094,13.3524435153255,10.5934516148293,0,13.3192766513903,16.0926842415246,15.2723902637595,18.7388939310723,"B5-0"
"2-6_3",9.58006714059825,0,11.0112243052404,9.1487278289903,9.27425871107416,8.76254519238365,0,9.845800696033,13.8116928417127,12.843270391308,15.0198396718638,"B5-0"
"2-6_4",14.1156029001333,8.77321070268619,13.9258577126967,13.3667352169108,12.7207432827921,10.1357807820709,0,13.3581732034073,16.2185212130788,15.1002821008495,17.7484445401236,"B5-0"
"2-6_5",10.5251489223615,0,10.5982123845512,10.5621431298437,7.84332488238772,9.65067980444533,0,11.734095812633,13.7136896019711,14.2342103496734,16.5572841226363,"B5-0"
"2-6_6",14.5520009268948,0,14.4858340029291,13.798356591582,14.3664452737387,12.2300728320075,0,13.1794467589375,16.2969043404857,15.2362779815342,18.4263569765057,"B5-0"
"2-6_7",11.6396164569903,0,12.0203607787152,11.188632261305,7.74237603141547,9.17533543869158,0,11.7602979394127,14.5432759313358,12.2018076500528,17.0860059263745,"B5-0"
"2-6_8",9.03648640591165,0,7.89898288216171,0,7.57705478727435,5.57705478727435,0,11.0364864059116,13.8010564614725,12.5195692926136,15.4809366330105,"B5-0"
"2-7_1",12.8905509459747,9.84164134549375,12.7650200638908,11.5535159586971,11.6560856923377,10.7115808049294,12.7251273367673,16.0191468016583,17.3595143267846,15.4944245182841,15.1498234330123,"A5-B5"
"2-7_2",11.2973680590109,9.43229763909697,11.9423553308042,10.8147672759194,8.53183331264788,9.87287023048295,12.4226042428931,14.2451625425469,14.2479096618299,14.7070917583932,10.5318333126479,"A5-B5"
"2-7_3",12.7423316668738,13.7078039837455,14.0446309550122,13.4276960645528,14.032724188328,13.4986625859069,0,17.1041569197594,17.1512638035034,16.9716701538231,12.7423316668738,"A5-B5"
"2-7_4",12.8462385204949,11.2557590148062,13.7136823269382,13.5610083685469,12.5542825053586,12.0982177378197,11.910847601918,14.6520193070544,16.1273987632317,16.123428300617,13.0702033616501,"A5-B5"
"2-7_6",11.118821766554,8.79689367166666,11.5869706022924,11.5694831755636,11.3412141878905,6.79689367166666,10.256325290304,16.6754555442167,16.1485691099481,15.3256733369947,13.8737092687175,"A5-B5"
"2-7_7",7.69830692633161,0,7.52142916424753,9.2457947216341,6.99786720819052,7.90475780379903,10.6272238282701,14.4330165465574,10.4736006391569,12.4552480872631,10.4977130952737,"A5-B5"
"2-7_8",7.7668659342923,0,10.6219175983812,10.5373840881695,8.67940309304196,9.61014043060485,9.35182843501346,13.0887940291797,15.4221335695611,15.2054132001037,13.3953650832971,"A5-B5"
"2-7_9",14.684401070857,13.6140117429656,15.9287082686219,15.6049666033626,15.6140117429656,11.4620086495206,13.0469711502417,17.9395420745332,19.0536348805227,18.0419530754751,15.9925233662193,"A5-B5"
"2-8_1",13.5613801176107,0,14.2394520227234,14.1869846028292,10.4320971006658,0,0,16.3147401500276,18.8168808507591,15.4981862911235,20.0403519226437,"B5-A5"
"2-8_2",8.97807978118568,7.17072485912807,8.97807978118568,9.41865237257166,10.0776154547366,7.97807978118568,0,10.4926529540154,15.6844524550805,12.3898933795902,15.7500407967081,"B5-A5"
"2-8_3",12.9898488619447,0,14.1395959814494,12.5134108180017,11.7972037840023,8.98984886194473,0,17.1919726857752,17.5386707704035,16.7777514213362,19.2144535434832,"B5-A5"
"2-8_4",4.14934341189214,0,0,5.37173583322859,2.97941841044983,0,0,12.1894808936901,11.499054663293,6.86206145981167,15.369452981196,"B5-A5"
"2-8_5",8.9888084229175,2.52470031707073,9.5675322326589,8.13941016118594,4.80480823626346,7.37555687776492,2.30230789573428,12.5119643291433,12.1905437786906,10.9157904364655,13.9688278056333,"B5-A5"
"2-8_6",7.56773810791103,0,8.31775985490269,6.10830648927374,6.10830648927374,7.4302345841611,6.27823149071605,12.2168309460519,12.0331189928795,11.0271697265483,14.6220340852262,"B5-A5"
