Plate,ID,Ct_Mean_bac,Ct_SD_bac,bac_copies_raw,bac_copies
1,1-0_1,25.4249095916748,0.307667315006256,2475.51920871902,3341950.93177068
1,1-0_2,24.7192001342773,0.181299522519112,3996.0364250891,5394649.17387029
1,1-0_3,26.9022216796875,0.0747106149792671,908.494261329965,1226467.25279545
1,eb-1,32.3359069824219,0.207231432199478,22.7555747446755,30720.0259053119
1,1-1_1,14.5853204727173,0.376679629087448,3872114.8167549,5227355002.61911
1,1-1_2,13.7645711898804,0.125823497772217,6757904.68595195,9123171326.03513
1,1-1_3,13.6477289199829,0.334692716598511,7315498.34247298,9875922762.33853
1,1-1_10,18.2568302154541,0.192042469978333,320629.453301963,432849761.95765
1,1-2_1,13.7238187789917,0.0145048890262842,6947383.17501078,9378967286.26455
1,1-2_2,15.3848066329956,0.114591740071774,2250869.66847412,3038674052.44006
1,1-2_3,14.1991910934448,0.058259516954422,5031939.25749685,6793117997.62074
1,1-2_10,16.7306957244873,0.150871738791466,903097.907194467,1219182174.71253
1,1-3_1,13.2059965133667,0.0352266579866409,9872259.16765981,13327549876.3407
1,1-3_2,14.6007032394409,0.36343064904213,3831908.506746,5173076484.1071
1,1-3_3,13.8352327346802,0.117835149168968,6441530.24161628,8696065826.18197
1,1-4_1,14.6721658706665,0.080101415514946,3650531.07293951,4928216948.46833
1,1-4_2,14.9122543334961,0.304096281528473,3101738.57219618,4187347072.46485
1,1-4_3,13.2689085006714,0.0707444697618484,9459697.02003357,12770590977.0453
1,1-5_1,14.3553466796875,0.0205203257501125,4526040.41204502,6110154556.26077
1,1-5_2,13.8946418762207,0.0952312275767326,6187026.42173622,8352485669.3439
1,1-5_3,15.5323028564453,0.0643982142210007,2036503.6120244,2749279876.23293
1,+ 10^8,8.3713436126709,0.911181807518005,262496846.783527,354370743157.761
1,1-6_1,14.4692964553833,0.0623130314052105,4189275.79655007,5655522325.34259
1,1-6_2,13.904107093811,0.0837083160877228,6147417.33807778,8299013406.405
1,1-6_3,14.7294359207153,0.0666575729846954,3511392.13253937,4740379378.92815
1,+ 10^7,6.39710855484009,0.246252626180649,1002085448.24373,1352815355129.04
1,1-7_1,14.1319704055786,0.14792113006115,5266770.9022725,7110140718.06788
1,1-7_2,14.0872383117676,0.207588478922844,5429081.70024124,7329260295.32567
1,1-7_3,13.8716516494751,0.20294164121151,6284299.62050122,8483804487.67665
2,1-0_4,25.839485168457,0.239905059337616,1868.51428894616,2522494.29007731
2,1-0_5,23.7908916473389,0.152184352278709,7502.21545797906,10127990.8682717
2,1-0_6,26.7194366455078,0.129280969500542,1028.45783967358,1388418.08355933
2,1-3_10,14.6631774902344,0.147337257862091,3672863.64060035,4958365914.81048
2,1-1_4,14.26624584198,0.149110376834869,4808119.49390567,6490961316.77266
2,1-1_5,15.4612121582031,0.0964782759547234,2137148.31484755,2885150225.0442
2,1-1_6,13.8195037841797,0.0335670225322247,6510647.1852277,8789373700.0574
2,1-4_10,14.4260902404785,0.113591723144054,4313911.64843491,5823780725.38713
2,1-2_4,14.8397569656372,0.148981779813766,3258135.90174351,4398483467.35374
2,1-2_5,14.4834814071655,0.061175461858511,4149147.14672374,5601348648.07706
2,1-2_6,13.6449241638184,0.269271999597549,7329434.03217555,9894735943.437
2,1-5_10,12.7837114334106,0.156731128692627,13147958.1388434,17749743487.4386
2,1-3_4,13.271728515625,0.179876372218132,9441613.23622091,12746177868.8982
2,1-3_5,15.3214502334595,0.0697772055864334,2349744.44948108,3172155006.79945
2,1-3_6,14.9568481445312,0.192127779126167,3009289.64820735,4062541025.07993
2,1-4_4,12.705340385437,0.0806579366326332,13866064.3786742,18719186911.2102
2,1-4_5,20.3972415924072,0.0605108328163624,75033.0864439869,101294666.699382
2,1-4_6,14.1069059371948,0.0625583827495575,5357110.33384688,7232098950.69329
2,1-5_4,13.2178497314453,0.0422051846981049,9793176.08069667,13220787708.9405
2,1-5_5,15.5132398605347,0.0330082662403584,2063016.94246547,2785072872.32838
2,1-5_6,13.4932794570923,0.052387073636055,8123779.12680269,10967101821.1836
2,1-6_4,17.3302097320557,0.0444589294493198,601265.211443756,811708035.449071
2,1-6_5,15.2337045669556,0.0472626425325871,2493894.66776145,3366757801.47796
2,1-6_6,14.6993637084961,0.0901991948485374,3583778.91877702,4838101540.34898
2,1-7_4,13.8709363937378,0.0511041581630707,6287350.32215892,8487922934.91454
2,1-7_5,14.0637636184692,0.0485627464950085,5516251.45955293,7446939470.39645
2,1-7_6,13.1175117492676,0.0558125078678131,10483150.5889478,14152253295.0795
3,1-0_7,21.7606430053711,0.139349192380905,29749.2931570319,40161545.7619931
3,1-0_8,23.0854568481445,0.0721549987792969,12107.9810402466,16345774.4043329
3,1-0_9,21.6141910552979,0.120481096208096,32857.4671322695,44357580.6285638
3,1-6_10,13.4253616333008,0.277007818222046,8506924.55687015,11484348151.7747
3,1-1_7,12.9201631546021,0.0747730433940887,11985269.8198506,16180114256.7983
3,1-1_8,12.9360094070435,0.113493241369724,11857090.5624722,16007072259.3375
3,1-1_9,14.0914182662964,0.0738101154565811,5413705.17149917,7308501981.52387
3,1-7_10,16.0087966918945,0.149274602532387,1473902.73536157,1989768692.73812
3,1-2_7,14.2782745361328,0.116048134863377,4769035.52084489,6438197953.1406
3,1-2_8,15.1285133361816,0.464845389127731,2678406.90138637,3615849316.8716
3,1-2_9,17.3012027740479,0.149434223771095,613216.792657699,827842670.087893
3,1-3_7,13.9141235351562,0.0600693672895432,6105777.67156449,8242799856.61206
3,1-3_8,27.5793476104736,11.9196348190308,573.828657635792,774668.687808319
3,1-3_9,14.9560356140137,0.259837090969086,3010949.23324858,4064781464.88559
3,1-4_7,14.9487762451172,0.156177863478661,3025817.09350309,4084853076.22918
3,1-4_8,14.090537071228,0.0850531682372093,5416943.13997088,7312873238.96069
3,1-4_9,15.0606832504272,0.114706449210644,2804562.83315548,3786159824.7599
3,1-5_7,12.5364151000977,0.0539884455502033,15550101.7221898,20992637324.9562
3,1-5_8,13.6998825073242,0.131519541144371,7061142.10368126,9532541839.9697
3,1-5_9,14.1717300415039,0.220068797469139,5126580.65776219,6920883887.97896
3,1-6_7,13.17542552948,0.0531573556363583,10079184.8010282,13606899481.388
3,1-6_8,12.8703498840332,0.0412663035094738,12397300.2680783,16736355361.9058
3,1-6_9,15.1377439498901,0.105258226394653,2661683.52805078,3593272762.86856
3,1-7_7,13.1950387954712,0.0514657646417618,9945935.55505158,13427012999.3196
3,1-7_8,13.5585298538208,0.0388382151722908,7771944.45222965,10492125010.51
3,1-7_9,14.594165802002,0.0104020917788148,3848944.30126719,5196074806.71071
4,1-8_1,13.8721494674683,0.0253772474825382,6282177.20583928,8480939227.88303
4,1-8_2,14.767128944397,0.170492991805077,3422722.59492683,4620675503.15122
4,1-8_3,14.9660902023315,0.188875675201416,2990477.0950439,4037144078.30927
4,1-8_4,15.200611114502,0.159469112753868,2550529.22629865,3443214455.50317
4,1-9_1,14.808952331543,0.217660441994667,3326954.8649153,4491389067.63565
4,1-9_2,14.8026094436646,0.147449299693108,3341304.63601384,4510761258.61868
4,1-9_3,14.7871656417847,0.385004490613937,3376503.11812898,4558279209.47412
4,1-9_4,14.1064910888672,0.150440856814384,5358618.52772583,7234135012.42987
4,1-10_1,14.8716650009155,0.311870098114014,3188352.45466564,4304275813.79861
4,1-10_2,15.1026601791382,0.188833311200142,2725807.20359738,3679839724.85647
4,1-10_3,14.9339876174927,0.0526837147772312,3056333.08502876,4126049664.78883
4,1-10_4,15.0431861877441,0.0348785296082497,2838058.37907204,3831378811.74726
4,1-11_1,15.4429359436035,0.171757027506828,2163816.45230105,2921152210.60642
4,1-11_2,14.7470331192017,0.267555892467499,3469713.95432401,4684113838.33742
4,1-11_3,14.5754022598267,0.0888968631625175,3898261.70237607,5262653298.20769
4,1-11_4,14.9661178588867,0.184678718447685,2990420.97595618,4037068317.54084
4,1-12_1,15.6279983520508,0.165188163518906,1908468.52635657,2576432510.58137
4,1-12_2,15.1939735412598,0.104849338531494,2562042.37495852,3458757206.194
4,1-12_3,15.0179891586304,0.855610072612762,2886998.45945314,3897447920.26173
4,1-12_4,16.2576160430908,0.0157071705907583,1244930.45178449,1680656109.90906
4,a1-0,19.5133991241455,0.150592729449272,136681.383037973,184519867.101263
4,a1-3,18.652717590332,0.209995970129967,245098.52654801,330883010.839814
4,a2-0,20.3674926757812,0.138974457979202,76563.0840653009,103360163.488156
4,a2-3,19.9191417694092,0.215663820505142,103786.874653212,140112280.781836
4,b1-0,21.4081287384033,0.98066383600235,37788.34665087,51014267.9786745
4,b1-3,21.8370971679688,0.198712676763535,28245.328644003,38131193.6694041
4,b2-0,21.0619812011719,0.115534625947475,47792.8511722498,64520349.0825372
4,b2-3,22.8215770721436,0.159355580806732,14482.1677144971,19550926.4145711
4,1s-0,28.7479572296143,5.43137168884277,259.662126744335,350543.871104853
4,1s-3,28.3527164459229,1.35402750968933,339.532055112812,458368.274402296
4,eb-2,28.7085037231445,0.130167990922928,266.707378371444,360054.960801449
5,1-8_5,15.7794942855835,0.0847064107656479,1722031.83880014,2324742982.38019
5,1-8_6,14.8115243911743,0.260726422071457,3321153.56745909,4483557316.06977
5,1-8_7,14.5337476730347,0.352156460285187,4010015.40350629,5413520794.7335
5,1-8_8,15.4417314529419,0.156706571578979,2165585.65443328,2923540633.48492
5,1-9_5,14.8748369216919,0.0810926035046577,3181497.61200509,4295021776.20687
5,1-9_6,14.6365060806274,0.107872880995274,3739938.94730545,5048917578.86235
5,1-9_7,14.81871509552,0.162715345621109,3304988.50335444,4461734479.52849
5,1-9_8,14.3056211471558,0.149381011724472,4681358.2398216,6319833623.75916
5,1-10_5,15.9552803039551,0.0267145615071058,1528408.30386731,2063351210.22087
5,1-10_6,14.7724714279175,0.0299862027168274,3410337.36526666,4603955443.10999
5,1-10_7,15.7021064758301,0.112338468432426,1814873.37467459,2450079055.81069
5,1-10_8,15.5785264968872,0.0342911183834076,1973620.72094253,2664387973.27241
5,1-11_5,15.2812356948853,0.212526634335518,2414745.24201879,3259906076.72536
5,1-11_6,13.8924207687378,0.0501672513782978,6196357.9970362,8365083295.99887
5,1-11_7,16.360954284668,0.236202493309975,1160627.06187757,1566846533.53472
5,1-11_8,17.83740234375,0.195275172591209,426189.943893146,575356424.255748
5,1-12_5,14.0128316879272,0.177599340677261,5710222.27773526,7708800074.94261
5,1-12_6,15.131103515625,0.0936229228973389,2673703.62034511,3609499887.4659
5,1-12_7,14.5964002609253,0.331697970628738,3843113.0611741,5188202632.58504
