Sample Name,Barcode,Barcode Quality,HiFi Reads,"HiFi Read Length (mean, bp)","HiFi Read Quality (median, QV)",HiFi Yield (bp)
3-0_1,bc1005--bc1033,97.98941176470588,1700,1557,Q60,2648258
3-0_2,bc1005--bc1035,97.57630543443582,9403,1601,Q60,15060283
3-0_3,bc1005--bc1044,99.45365543547362,7865,1513,Q60,11902880
3-0_4,bc1005--bc1045,98.8252688172043,744,1566,Q60,1165618
3-0_5,bc1005--bc1054,99.52063307921776,24136,1586,Q60,38298832
3-0_6,bc1005--bc1056,99.65748145993892,13754,1509,Q60,20756561
3-0_7,bc1005--bc1057,99.47205707491082,15138,1490,Q60,22561966
3-0_8,bc1005--bc1059,99.50609836065574,61000,1500,Q60,91528444
3-0_9,bc1005--bc1060,99.54855808436504,26978,1529,Q60,41266831
3-1_1,bc1007--bc1033,99.64547273201705,22994,1524,Q45,35056056
3-1_2,bc1007--bc1035,99.45797170372131,16822,1529,Q48,25731743
3-1_3,bc1007--bc1044,99.4318244086578,32849,1525,Q60,50103308
3-1_4,bc1007--bc1045,99.61460333875019,54152,1525,Q50,82606975
3-1_5,bc1007--bc1054,99.60391119660174,24954,1525,Q60,38065323
3-1_6,bc1007--bc1056,99.53749550053993,25003,1526,Q45,38165089
3-1_7,bc1007--bc1057,99.64931082128534,29673,1526,Q60,45293537
3-1_8,bc1007--bc1059,99.49491107227306,19454,1529,Q47,29753105
3-1_9,bc1007--bc1060,99.6962630603303,47472,1527,Q55,72527057
3-1_10,bc1007--bc1062,99.68899834145851,19897,1526,Q51,30374945
3-2_1,bc1008--bc1033,99.59107650215721,28509,1529,Q51,43607655
3-2_2,bc1008--bc1035,99.40814852044983,63668,1525,Q46,97156209
3-2_3,bc1008--bc1044,99.28695378081555,60278,1528,Q43,92111068
3-2_4,bc1008--bc1045,99.55788776346299,57361,1529,Q45,87758572
3-2_5,bc1008--bc1054,99.52689565780946,54005,1530,Q48,82672960
3-2_6,bc1008--bc1056,99.56409785772347,38137,1529,Q43,58343047
3-2_7,bc1008--bc1057,99.57002517998369,197379,1526,Q60,301222262
3-2_8,bc1008--bc1059,99.62452684576091,54422,1527,Q45,83126361
3-2_9,bc1008--bc1060,99.62789912981708,56310,1525,Q50,85920372
3-3_1,bc1012--bc1033,99.35831998168918,17476,1525,Q50,26667579
3-3_2,bc1012--bc1035,99.04468255703769,13719,1528,Q60,20974171
3-3_3,bc1012--bc1044,99.17938055014078,23085,1527,Q60,35266921
3-3_4,bc1012--bc1045,97.8801081010396,91766,1528,Q53,140259029
3-3_5,bc1012--bc1054,99.3823089901181,41490,1525,Q57,63297993
3-3_6,bc1012--bc1056,99.38613975792241,34617,1523,Q47,52731628
3-3_7,bc1012--bc1057,99.38377406931964,19475,1531,Q60,29820964
3-3_8,bc1012--bc1059,99.38962466889899,40018,1527,Q50,61139865
3-3_9,bc1012--bc1060,98.6578476939578,11188,1532,Q41,17146371
3-4_1,bc1015--bc1033,99.54551774479475,28769,1524,Q44,43857886
3-4_2,bc1015--bc1035,99.40153100369673,57348,1525,Q43,87502907
3-4_3,bc1015--bc1044,99.27205803041743,37084,1526,Q46,56597169
3-4_4,bc1015--bc1045,99.50451249247918,31579,1529,Q60,48293793
3-4_5,bc1015--bc1054,99.4915452475457,80369,1524,Q45,122489153
3-4_6,bc1015--bc1056,99.52130260455716,30677,1527,Q47,46869717
3-4_7,bc1015--bc1057,99.51859534745888,33745,1527,Q45,51542098
3-4_8,bc1015--bc1059,99.50856656379696,18794,1531,Q46,28775777
3-4_9,bc1015--bc1060,99.53495618673516,52952,1527,Q60,80862095
3-4_10,bc1015--bc1062,99.37274417587226,27429,1527,Q43,41902573
3-5_1,bc1020--bc1033,99.32892124420913,9066,1534,Q60,13913975
3-5_2,bc1020--bc1035,99.47080310108339,40244,1522,Q48,61269918
3-5_3,bc1020--bc1044,99.37414511235666,19447,1526,Q52,29686942
3-5_4,bc1020--bc1045,99.62735945311702,39204,1527,Q48,59896769
3-5_5,bc1020--bc1054,99.59833498513379,75675,1521,Q47,115135114
3-5_6,bc1020--bc1056,99.59648988935521,39315,1525,Q60,59970945
3-5_7,bc1020--bc1057,99.66707557170983,66030,1524,Q47,100677615
3-5_8,bc1020--bc1059,99.66252313722643,55106,1524,Q49,84009545
3-5_9,bc1020--bc1060,99.611475498212,55649,1528,Q40,85073969
