Sample Name,Barcode,Barcode Quality,HiFi Reads,"HiFi Read Length (mean, bp)","HiFi Read Quality (median, QV)",HiFi Yield (bp)
3-5_10,bc1020--bc1062,98.76190476190476,21,2359,Q43,49539
3-6_1,bc1022--bc1033,99.69853454291696,8598,1531,Q43,13169706
3-6_2,bc1022--bc1035,99.56022128907551,15003,1527,Q45,22918162
3-6_3,bc1022--bc1044,99.55869069445066,22363,1530,Q43,34216911
3-6_4,bc1022--bc1045,99.67805119233256,26293,1528,Q43,40201590
3-6_5,bc1022--bc1054,99.61708704659804,60818,1524,Q44,92746467
3-6_6,bc1022--bc1056,99.64234240537326,85758,1525,Q43,130857285
3-6_7,bc1022--bc1057,99.71769948903146,52058,1529,Q48,79614112
3-6_8,bc1022--bc1059,99.57291905063207,74281,1525,Q44,113279750
3-6_9,bc1022--bc1060,99.73282163037818,51853,1527,Q45,79196554
3-6_10,bc1022--bc1062,99.74770642201835,2398,1516,Q60,3635889
3-7_1,bc1024--bc1033,99.70856683719653,98321,1521,Q43,149576835
3-7_2,bc1024--bc1035,99.56270654964108,65057,1526,Q42,99284050
3-7_3,bc1024--bc1044,99.46918993032858,62723,1523,Q43,95575743
3-7_4,bc1024--bc1045,99.70404317437848,56515,1525,Q46,86205475
3-7_5,bc1024--bc1054,99.62624633102553,89262,1523,Q44,136004519
3-7_6,bc1024--bc1056,99.66194708691748,76843,1525,Q45,117239945
3-7_7,bc1024--bc1057,99.69783161558024,59768,1524,Q51,91102464
3-7_8,bc1024--bc1059,99.69400651899156,135297,1527,Q45,206688662
3-7_9,bc1024--bc1060,99.77202025131146,65576,1523,Q45,99901490
eb-5,bc1024--bc1062,99.71028744326777,1322,1530,Q60,2022990
No Name,Not Barcoded,0.0,291383,1516,Q54,441859713
