ID,Type,Experiment,Plate,Treatment,is_low,Ct_Mean_bac,Ct_SD_bac,bac_copies,total_counts,sum_present
1-11_2,bee,1,2,A3-B3,,14.7470331192017,0.267555892467499,4684113838.33742,4506,18
1-11_3,bee,1,2,A3-B3,,14.5754022598267,0.0888968631625175,5262653298.20769,1737,14
1-11_4,bee,1,2,A3-B3,,14.9661178588867,0.184678718447685,4037068317.54084,5088,12
1-11_5,bee,1,2,A3-B3,,15.2812356948853,0.212526634335518,3259906076.72536,6902,13
1-11_7,bee,1,2,A3-B3,,16.360954284668,0.236202493309975,1566846533.53472,11299,19
1-11_8,bee,1,2,A3-B3,,17.83740234375,0.195275172591209,575356424.255748,8387,14
1-11_6,bee,1,2,A3-B3,yes,13.8924207687378,0.0501672513782978,8365083295.99887,0,0
1-2_1,bee,1,1,B1-0,,13.7238187789917,0.0145048890262842,9378967286.26455,2457,12
1-2_10,bee,1,1,B1-0,,16.7306957244873,0.150871738791466,1219182174.71253,2548,11
1-2_2,bee,1,1,B1-0,,15.3848066329956,0.114591740071774,3038674052.44006,2627,11
1-2_3,bee,1,1,B1-0,,14.1991910934448,0.058259516954422,6793117997.62074,2629,11
1-2_4,bee,1,1,B1-0,,14.8397569656372,0.148981779813766,4398483467.35374,20160,12
1-2_5,bee,1,1,B1-0,,14.4834814071655,0.061175461858511,5601348648.07706,10896,11
1-2_6,bee,1,1,B1-0,,13.6449241638184,0.269271999597549,9894735943.437,3797,12
1-2_7,bee,1,1,B1-0,,14.2782745361328,0.116048134863377,6438197953.1406,11599,12
1-2_8,bee,1,1,B1-0,,15.1285133361816,0.464845389127731,3615849316.8716,6911,12
1-2_9,bee,1,1,B1-0,,17.3012027740479,0.149434223771095,827842670.087893,3252,10
1-4_1,bee,1,1,B1-A1,,14.6721658706665,0.080101415514946,4928216948.46833,1731,13
1-4_10,bee,1,1,B1-A1,,14.4260902404785,0.113591723144054,5823780725.38713,1487,19
1-4_2,bee,1,1,B1-A1,,14.9122543334961,0.304096281528473,4187347072.46485,2209,17
1-4_3,bee,1,1,B1-A1,,13.2689085006714,0.0707444697618484,12770590977.0453,2073,6
1-4_4,bee,1,1,B1-A1,,12.705340385437,0.0806579366326332,18719186911.2102,4062,19
1-4_5,bee,1,1,B1-A1,,20.3972415924072,0.0605108328163624,101294666.699382,4435,15
1-4_6,bee,1,1,B1-A1,,14.1069059371948,0.0625583827495575,7232098950.69329,62409,20
1-4_7,bee,1,1,B1-A1,,14.9487762451172,0.156177863478661,4084853076.22918,17936,18
1-4_8,bee,1,1,B1-A1,,14.090537071228,0.0850531682372093,7312873238.96069,4145,10
1-4_9,bee,1,1,B1-A1,,15.0606832504272,0.114706449210644,3786159824.7599,912,13
1-6_1,bee,1,1,B2-0,,14.4692964553833,0.0623130314052105,5655522325.34259,3794,11
1-6_10,bee,1,1,B2-0,,13.4253616333008,0.277007818222046,11484348151.7747,1900,12
1-6_2,bee,1,1,B2-0,,13.904107093811,0.0837083160877228,8299013406.405,2264,11
1-6_3,bee,1,1,B2-0,,14.7294359207153,0.0666575729846954,4740379378.92815,1253,6
1-6_4,bee,1,1,B2-0,,17.3302097320557,0.0444589294493198,811708035.449071,24537,12
1-6_5,bee,1,1,B2-0,,15.2337045669556,0.0472626425325871,3366757801.47796,16161,12
1-6_6,bee,1,1,B2-0,,14.6993637084961,0.0901991948485374,4838101540.34898,37760,12
1-6_7,bee,1,1,B2-0,,13.17542552948,0.0531573556363583,13606899481.388,7488,13
1-6_8,bee,1,1,B2-0,,12.8703498840332,0.0412663035094738,16736355361.9058,3247,11
1-6_9,bee,1,1,B2-0,,15.1377439498901,0.105258226394653,3593272762.86856,1210,11
1-8_1,bee,1,2,B2-A2,,13.8721494674683,0.0253772474825382,8480939227.88303,1456,13
1-8_2,bee,1,2,B2-A2,,14.767128944397,0.170492991805077,4620675503.15122,2364,11
1-8_3,bee,1,2,B2-A2,,14.9660902023315,0.188875675201416,4037144078.30927,3006,16
1-8_4,bee,1,2,B2-A2,,15.200611114502,0.159469112753868,3443214455.50317,1019,10
1-8_5,bee,1,2,B2-A2,,15.7794942855835,0.0847064107656479,2324742982.38019,1640,9
1-8_6,bee,1,2,B2-A2,,14.8115243911743,0.260726422071457,4483557316.06977,3520,18
1-8_7,bee,1,2,B2-A2,,14.5337476730347,0.352156460285187,5413520794.7335,4736,16
1-8_8,bee,1,2,B2-A2,,15.4417314529419,0.156706571578979,2923540633.48492,348353,23
1-8_9,bee,1,2,B2-A2,,15.5251607894897,0.115455374121666,2762635732.72131,9959,14
1-10_1,bee,1,2,B3-0,,14.8716650009155,0.311870098114014,4304275813.79861,2475,12
