Sample Name,Barcode,Barcode Quality,HiFi Reads,"HiFi Read Length (mean, bp)","HiFi Read Quality (median, QV)",HiFi Yield (bp)
1-0_1,bc1005--bc1033,97.53642857142857,1400,1587,Q72,2222938
1-0_2,bc1005--bc1035,95.7132530120482,3735,1635,Q69,6107379
1-0_3,bc1005--bc1044,94.65434083601286,1866,1747,Q69,3260768
1-0_4,bc1005--bc1045,96.84518828451883,478,1703,Q66,814087
1-0_5,bc1005--bc1054,92.74256584536958,1177,1215,Q60,1431042
1-0_6,bc1005--bc1056,93.17365269461078,167,2263,Q58,378026
1-0_7,bc1005--bc1057,95.45763270689086,3033,1579,Q72,4789891
1-0_8,bc1005--bc1059,97.14795918367346,1176,1439,Q60,1692905
1-0_9,bc1005--bc1060,99.09651376146789,2725,1542,Q60,4201984
eb-1,bc1005--bc1062,93.34285714285714,35,2848,Q54,99696
1-1_1,bc1007--bc1033,99.71143179060496,23076,1528,Q60,35277493
1-1_2,bc1007--bc1035,99.38814294567239,14523,1542,Q66,22406789
1-1_3,bc1007--bc1044,99.52429213012894,310615,1527,Q60,474607152
1-1_4,bc1007--bc1045,99.68447509761972,66841,1534,Q60,102581562
1-1_5,bc1007--bc1054,99.6092736657892,203997,1525,Q60,311270430
1-1_6,bc1007--bc1056,99.66989277018976,115826,1535,Q60,177889269
1-1_7,bc1007--bc1057,99.69518693960413,23644,1541,Q60,36456805
1-1_8,bc1007--bc1059,99.68938989208249,9359,1582,Q60,14810878
1-1_9,bc1007--bc1060,99.77630388431247,127101,1525,Q60,193874578
1-1_10,bc1007--bc1062,99.7245244373483,124011,1529,Q60,189704482
1-2_1,bc1008--bc1033,99.6429526355997,10472,1526,Q50,15989549
1-2_2,bc1008--bc1035,99.2551259245389,10681,1532,Q69,16370632
1-2_3,bc1008--bc1044,99.08449619039466,11681,1542,Q58,18020449
1-2_4,bc1008--bc1045,99.65426194927849,83436,1528,Q60,127538465
1-2_5,bc1008--bc1054,99.09286152155072,47307,1526,Q60,72224865
1-2_6,bc1008--bc1056,99.6356474643033,16248,1543,Q69,25082027
1-2_7,bc1008--bc1057,99.57152827630215,50148,1528,Q54,76665388
1-2_8,bc1008--bc1059,99.6557445309247,31221,1529,Q52,47766982
1-2_9,bc1008--bc1060,99.69717267699977,12839,1531,Q60,19668079
1-2_10,bc1008--bc1062,99.62224108658744,10602,1538,Q72,16312205
1-3_1,bc1012--bc1033,99.2767039674466,8847,1540,Q60,13631738
1-3_2,bc1012--bc1035,98.87370196570292,231215,1529,Q60,353592817
1-3_3,bc1012--bc1044,99.078411931658,212812,1541,Q60,327952959
1-3_4,bc1012--bc1045,99.09624693929244,142124,1537,Q60,218461484
1-3_5,bc1012--bc1054,97.6967106967107,42471,1564,Q60,66458112
1-3_6,bc1012--bc1056,99.40233277121979,14232,1615,Q60,22985259
1-3_7,bc1012--bc1057,99.44601141134676,55734,1532,Q60,85392588
1-3_8,bc1012--bc1059,99.30017319766183,9238,1611,Q60,14882760
1-3_9,bc1012--bc1060,98.9606308411215,68480,1532,Q60,104942984
1-3_10,bc1012--bc1062,98.91686570741423,120997,1535,Q72,185759492
1-4_1,bc1015--bc1033,99.4566907652435,7331,1529,Q57,11209775
1-4_2,bc1015--bc1035,99.14024653979239,9248,1540,Q57,14244905
1-4_3,bc1015--bc1044,99.42871922201532,9666,1561,Q60,15097473
1-4_4,bc1015--bc1045,99.61351983950067,17944,1540,Q52,27651606
1-4_5,bc1015--bc1054,99.46687026231118,18337,1549,Q60,28414229
1-4_6,bc1015--bc1056,99.54865435497234,261919,1528,Q60,400354547
1-4_7,bc1015--bc1057,99.62553304904051,75040,1528,Q72,114724566
1-4_8,bc1015--bc1059,99.5684990337127,18628,1539,Q58,28674740
1-4_9,bc1015--bc1060,99.5152719145766,4027,1555,Q64,6263964
1-4_10,bc1015--bc1062,99.56126039667306,6252,1549,Q50,9690003
1-5_1,bc1020--bc1033,99.49080250656964,4947,1545,Q60,7645717
1-5_2,bc1020--bc1035,98.89674523007857,4455,1595,Q60,7108978
1-5_3,bc1020--bc1044,98.84296103401188,94467,1552,Q60,146634311
1-5_4,bc1020--bc1045,99.48461221821351,41299,1537,Q60,63502083
1-5_5,bc1020--bc1054,96.20626682045368,15606,1626,Q60,25388933
1-5_6,bc1020--bc1056,99.5540033319283,49821,1541,Q60,76777332
1-5_7,bc1020--bc1057,99.4753160808023,48959,1535,Q67,75161053
1-5_8,bc1020--bc1059,99.00544188733166,164465,1534,Q60,252352800
1-5_9,bc1020--bc1060,98.53832997987928,9940,1553,Q60,15444446
1-5_10,bc1020--bc1062,99.07160096540628,3729,1624,Q53,6058476
1-6_1,bc1022--bc1033,99.70686149936468,15740,1527,Q64,24042246
1-6_2,bc1022--bc1035,99.21991701244814,9881,1540,Q57,15221227
1-6_3,bc1022--bc1044,99.54137678506042,5462,1580,Q60,8629966
1-6_4,bc1022--bc1045,99.70254233838138,98256,1526,Q60,150006929
1-6_5,bc1022--bc1054,99.60472872813519,67460,1530,Q60,103257682
1-6_6,bc1022--bc1056,99.68221195679992,156296,1529,Q60,238993368
1-6_7,bc1022--bc1057,99.70134949543201,33494,1530,Q47,51252518
1-6_8,bc1022--bc1059,99.7005946618725,14462,1536,Q57,22225836
1-6_9,bc1022--bc1060,99.76093409855531,5053,1548,Q60,7822953
1-6_10,bc1022--bc1062,99.62644648023144,8296,1544,Q56,12811063
1-7_1,bc1024--bc1033,99.71547347509382,13591,1525,Q56,20731730
1-7_2,bc1024--bc1035,99.23987915407855,13240,1528,Q58,20232327
1-7_3,bc1024--bc1044,99.54926124266082,15499,1528,Q69,23697900
1-7_4,bc1024--bc1045,99.69072164948453,11058,1533,Q60,16956997
1-7_5,bc1024--bc1054,99.63354321694334,8735,1536,Q60,13419053
1-7_6,bc1024--bc1056,99.64510294936005,7188,1547,Q60,11126482
1-7_7,bc1024--bc1057,99.68735335523229,34096,1528,Q48,52117957
1-7_8,bc1024--bc1059,99.7261127298302,9953,1530,Q64,15231255
1-7_9,bc1024--bc1060,99.74772727272727,6600,1532,Q60,10113679
1-7_10,bc1024--bc1062,99.63517196625568,7705,1533,Q66,11812502
No Name,Not Barcoded,0.0,667909,1501,Q60,1002548917
