"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"1-1_1",153162762.91714,0,73878509.1717971,0,117124465.760166,0,97303402.3238304,0,16217233.7206384,0,0,0,231546059.233559,20722020.8652602,0,409935630.160582,2188425594.85726,0,52255530.8776126,0,1866783792.73126,0,"A1-0"
"1-1_2",512001912.107611,0,351373861.250321,0,481884152.571869,0,316236475.125289,0,90353278.6072255,0,7529439.88393546,0,1242357580.84935,92863091.9018706,0,517021538.696901,1957654369.82322,0,1593731442.09967,0,1960164183.11786,0,"A1-0"
"1-1_3",269898019.378709,0,105387549.836805,0,159341941.38005,0,96185048.4754576,0,15379522.8230745,0,1764863.27477904,0,0,20421989.3224432,0,1823608009.49668,3528970179.58317,0,332424603.97088,0,3400513345.51175,0,"A1-0"
"1-1_4",222266251.150094,0,71203878.6870213,0,244689572.062581,0,109362863.397745,0,20456362.9377078,0,0,0,261212019.05073,20849754.5326637,0,1068451571.90028,2504724285.08433,0,0,0,1967744757.96951,0,"A1-0"
"1-1_5",79589598.0949888,0,55134083.728353,0,133468153.183983,0,62285138.1525255,0,18123282.9681319,0,0,0,245373966.692027,27676218.267599,0,201539640.7179,962280819.76575,0,0,0,1091218152.2077,0,"A1-0"
"1-1_6",140699094.545607,0,11107823.2536006,0,18513038.756001,0,34249121.6986018,0,0,0,0,1234202.5837334,166308798.158076,617101.291866699,0,920406576.819182,5830681556.20251,0,0,0,1636244075.38455,0,"A1-0"
"1-1_7",582922642.20493,0,331570677.217483,0,844970435.489715,0,280765492.805127,0,29413527.8176799,0,26739570.7433454,0,1176541112.7072,106958282.973382,0,1655179429.01308,5508351573.12915,0,0,0,5636701512.69721,0,"A1-0"
"1-1_8",367564468.809641,0,151350075.392205,0,374771615.256889,0,201800100.52294,0,14414292.8944957,0,0,0,511707397.754598,72071464.4724786,0,987379063.272957,7877411066.84191,0,1376564971.42434,0,4072037742.69504,0,"A1-0"
"1-1_9",158805860.395678,0,72766950.440671,0,143703285.775916,0,52401357.3928102,0,28832187.9104545,0,2745922.65813853,0,388548056.126602,59952644.7026912,0,777324939.141382,2659654921.29534,0,707532738.247027,0,2256233117.43716,0,"A1-0"
"1-1_10",4528753.43555494,0,962360.105055426,0,1967177.27356918,0,1401083.09412481,0,113218.835888874,0,0,0,16331817.07697,198132.962805529,0,47792501.0995908,203397638.674361,0,0,0,156128774.690757,0,"A1-0"
"1-2_1",0,1003935041.22408,0,328282941.236773,0,362638132.761551,0,152689740.110127,0,53441409.0385444,38172435.0275317,816890109.589179,0,57258652.5412976,587855499.423989,0,0,396993324.28633,0,3905040103.3165,0,1675769897.70864,"B1-0"
"1-2_2",0,178133157.242394,0,32387846.7713444,0,104103793.193607,0,55522023.0365904,0,4626835.2530492,0,884882242.145659,0,46268352.530492,424512134.467264,0,0,167722777.923033,0,934620721.115938,0,205894168.760689,"B1-0"
"1-2_3",0,155035024.669929,0,36174839.0896502,0,103356683.113286,0,41342673.2453145,0,25839170.7783216,0,2563245741.2095,0,33590922.011818,1260951533.98209,0,0,273895210.250209,0,1689881768.90223,0,609804430.368389,"B1-0"
"1-2_4",0,29017772.8749031,0,5454468.58550811,0,106034869.302278,0,18327014.4473072,0,7854434.76313168,0,1347035561.87708,0,6109004.81576908,1236855296.44982,0,0,101234936.947031,0,1267182141.78524,0,271632535.558304,"B1-0"
"1-2_5",0,82765889.5319756,0,23647397.0091359,0,71970338.7234571,0,15422215.4407408,0,9253329.26444448,0,2643367726.54297,0,52435532.4985187,940755141.885189,0,0,211798425.386174,0,943839584.973337,0,606093066.821114,"B1-0"
"1-2_6",0,265805390.105498,0,93813667.0960579,0,138114565.446974,0,62542444.7307053,0,39089027.9566908,33877157.5624654,3158393458.90062,0,52118703.9422544,1925786110.6663,0,0,1454111839.9889,0,1970087009.01722,0,700996568.023322,"B1-0"
"1-2_7",0,157638435.959301,0,72158438.9954546,0,97691425.1015386,0,73268568.8261539,0,7215843.89954546,0,1652983317.91126,0,11101298.306993,1038526456.6192,0,0,288078691.066469,0,2145880962.74175,0,536192708.227763,"B1-0"
"1-2_8",0,166378249.568104,0,91037155.4240571,0,95745973.80806,0,36100940.9440226,0,20928081.7066798,0,732482859.733793,0,14126455.1520089,1190807849.11008,0,0,195154361.914789,0,738761284.245796,0,284098709.168178,"B1-0"
"1-2_9",0,39712010.0042163,0,24947288.335982,0,16037542.5017027,0,3563898.33371172,0,8655181.6675856,0,135428136.681045,0,1018256.66677478,360971988.371658,0,0,52949346.6722884,0,184559020.852928,0,0,"B1-0"
"1-2_10",0,28709156.3904049,0,12440634.4358421,0,19617923.5334434,0,11483662.556162,0,2870915.63904049,0,289962479.54309,0,2870915.63904049,186609516.537632,0,0,88998384.8102553,0,376089948.714305,0,199528636.913314,"B1-0"
"1-3_1",643928606.613979,23630407.5821644,330825706.150301,0,620298199.031814,0,443070142.165582,0,159505251.179609,0,41353213.2687876,383994123.210171,1128351962.04835,88614028.4331164,732542635.047095,1660036132.64705,2652513251.09795,0,0,100429232.224199,4318456985.64054,0,"A1-B1"
"1-3_2",136180652.768955,4291970.67164139,45065692.0522346,2503649.55845748,111948901.685313,7779196.84235001,63306567.4067105,3576642.22636782,3218978.00373104,0,4381386.72730058,269678823.868134,625912.389614369,8047445.0093276,476051080.329557,712824795.715107,1731988998.11862,0,0,71175180.3047197,1498076596.51416,357664.222636782,"A1-B1"
"1-3_3",126268335.871709,102299284.521372,0,81150121.5651923,7206381.45173523,27415581.6098623,6109758.18734074,37285190.9894127,7363041.9180773,20209200.158127,19112576.8937326,1546708784.19526,0,26318958.3454678,2432310400.42698,291545127.862592,409197138.085487,454002031.459319,0,657660637.70401,1713708841.31591,17545972.2303119,"A1-B1"
"1-3_4",342849183.399032,19891039.1212519,99816850.8630094,9403036.67550088,196017149.158518,8318070.90525078,142492171.159513,5063173.59450048,134535755.511013,7956415.64850075,26039178.4860024,632535044.055809,0,41952009.7830039,1025654308.1431,2263961907.25521,3426321902.44982,3254897.31075031,0,194570528.131518,4164460281.47664,1084965.7702501,"A1-B1"
"1-3_5",60930873.3575544,937398.051654684,48744698.6860436,0,45932504.5310795,0,28121941.5496405,0,36558524.0145327,0,1406097.07748203,61868271.4092091,0,44995106.4794248,200603183.054102,609308733.575544,799600538.061445,0,0,15935766.8781296,1215805272.99612,0,"A1-B1"
"1-3_6",49794972.205763,0,8501580.62049612,0,29148276.4131295,0,20646695.7926334,0,0,0,0,117807617.169732,0,4858046.06885492,349779316.957555,432366100.128088,2007587537.9543,0,0,17003161.2409922,1025047720.52839,0,"A1-B1"
"1-3_7",488104810.458242,44883200.9616774,138015842.957158,29174080.6250903,347283767.440979,29735120.6371113,287813526.166757,25807840.5529645,123989842.656634,15148080.3245661,54981921.1780549,492032090.542389,751793616.108097,53298801.1419919,509424330.915039,1556886033.35819,1413820830.29284,0,0,140260003.005242,1740346117.28904,0,"A1-B1"
"1-3_8",26033.0331956708,1487.60189689548,7066.10901025351,0,8181.81043292512,0,8553.71090714898,3719.00474223869,1487.60189689548,0,0,43512.3554841927,0,1859.50237111934,104504.033256907,104504.033256907,280784.858039021,0,0,4090.90521646256,178884.128101681,0,"A1-B1"
"1-3_9",42614041.4747984,0,8971377.15258913,0,39623582.4239353,0,16447524.7797467,0,2492049.20905254,0,0,130084968.712542,106161296.305638,2242844.28814728,239984338.831759,259671527.583274,2410808404.83742,0,0,5482508.25991558,799449386.264053,747614.762715761,"A1-B1"
"1-3_10",100985403.179615,12166916.0457368,18771813.3277082,7300149.62744208,41715140.7282404,11819289.8730015,28331533.07793,9559719.75022177,0,3823887.90008871,347626.172735337,316687443.361892,0,40150822.9509314,595657446.982,925033245.648732,728972084.226002,3476261.72735337,0,61356019.487787,2039001316.17912,6778710.36833907,"A1-B1"
"1-4_1",14235173.1613759,261927186.169316,0,113881385.291007,0,148045800.878309,0,82564004.3359801,0,34164415.5873021,0,1295400757.68521,37011450.2195773,28470346.3227518,945215497.915359,0,0,666206103.952391,0,1215683787.9815,0,85411038.9682553,"B1-A1"
"1-4_2",11373509.4770435,166811472.329971,0,90988075.816348,22747018.954087,229365774.453711,0,94779245.6420292,0,43598452.9953334,41702868.0824929,1175262645.96116,68241056.862261,9477924.56420292,252112793.407798,5686754.73852175,0,557301964.375132,0,1317431514.42421,9477924.56420292,90988075.816348,"B1-A1"
"1-4_3",0,12320878.8972941,0,0,0,0,0,0,0,0,0,6850408666.8955,0,0,2605865886.7777,0,0,2384090066.6264,0,874782401.707879,0,43123076.1405292,"B1-A1"
"1-4_4",244243453.051241,1059924418.90161,92167340.7740532,368669363.096213,142859378.199782,741947093.231128,115209175.967566,267285288.244754,0,285718756.399565,46083670.3870266,6299637741.90654,474661804.986374,50692037.4257293,1645187032.81685,36866936.3096213,0,1769612942.86182,0,4387165420.84493,211984883.780322,479270172.025077,"B1-A1"
"1-4_5",0,1324710.41004829,0,639515.370368139,0,1050632.39417623,0,228398.34656005,0,45679.6693120099,0,19436699.2922602,502476.362432109,1461749.41798432,9889648.40605015,68519.5039680149,0,16444680.9523236,45679.6693120099,41157382.0501209,0,8039621.79891375,"B1-A1"
"1-4_6",12283524.6322404,56318801.6157435,2549410.77272913,27116460.0372099,10313525.3987679,65125857.0124442,4982939.23760694,34880574.6632486,0,7879996.93389004,0,2359016140.92941,3012940.00413443,21090580.028941,1891778675.67287,3592351.54339105,0,716500309.444737,231764.615702648,1630000542.23673,21669991.5681976,280203420.384502,"B1-A1"
"1-4_7",8426603.6920428,100436006.167321,0,43499494.7345993,9109841.82923546,45093717.0547155,3871682.77742507,26190795.2590519,7060127.41765748,0,0,1306806810.40383,21635874.3444342,5693651.14327216,560938510.635173,0,2277460.45730886,945601581.874641,0,547729239.982782,7287873.46338837,374869991.273039,"B1-A1"
"1-4_8",0,42342329.9722694,0,31756747.479202,0,91741714.939917,0,31756747.479202,0,0,0,3517941915.19605,0,49399384.9676476,957995215.622594,0,0,211711649.861347,0,1788963441.32838,0,589264092.114082,"B1-A1"
"1-4_9",20757455.1796047,37363419.3232885,0,20757455.1796047,0,33211928.2873675,0,33211928.2873675,0,16605964.1436838,0,1295265203.20733,29060437.2514466,8302982.07184189,597814709.172616,0,0,244937971.119336,0,1046175741.05208,0,402694630.484331,"B1-A1"
"1-4_10",203656084.546154,509140211.365385,62663410.6295858,125326821.259172,152742063.409615,187990231.888757,58746947.4652367,54830484.3008876,43081094.8078402,0,11749389.4930473,1496088928.78136,101828042.273077,27415242.1504438,1351179791.70044,15665852.6573964,0,164491452.902663,0,904702990.964645,184073768.724408,168407916.067012,"B1-A1"
