,ESL0825,ESL0820,ESL0822,ESL0170,ESL0824,ESL0198,ESL0827,ESL0199,ESL0200,ESL0819,ESL0197,ESL0294,ESL0394,ESL0295,ESL1028,ESL0263,ESL0185,ESL0183,ESL0835,ESL0354,ESL0393,ESL0259,ESL0260,ESL0184,ESL0350,ESL0186,ESL0261,unknown
1-0_1.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1-0_2.fastq.gz,0,0,0,0,5,0,0,0,0,0,0,0,0,17,0,0,2,42,0,0,0,0,0,17,0,34,0,49
1-0_3.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0
1-0_4.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,4,5
1-0_5.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1-0_6.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0
1-0_7.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,7,1,0,13
1-0_8.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0
1-0_9.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,2050
eb-1.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,4
1-1_1.fastq.gz,170,0,82,0,130,0,108,0,18,0,0,0,0,257,23,0,455,2429,0,0,0,0,0,58,0,2072,0,0
1-1_2.fastq.gz,204,0,140,0,192,0,126,0,36,0,3,0,0,495,37,0,206,780,0,0,0,0,0,635,0,781,0,0
1-1_3.fastq.gz,2141,0,836,0,1264,0,763,0,122,0,14,0,0,0,162,0,14466,27994,0,0,0,0,0,2637,0,26975,0,968
1-1_4.fastq.gz,565,0,181,0,622,0,278,0,52,0,0,0,0,664,53,0,2716,6367,0,0,0,0,0,0,0,5002,0,0
1-1_5.fastq.gz,1458,0,1010,0,2445,0,1141,0,332,0,0,0,0,4495,507,0,3692,17628,0,0,0,0,0,0,0,19990,0,155
1-1_6.fastq.gz,456,0,36,0,60,0,111,0,0,0,0,0,4,539,2,0,2983,18897,0,0,0,0,0,0,0,5303,0,95
1-1_7.fastq.gz,218,0,124,0,316,0,105,0,11,0,10,0,0,440,40,0,619,2060,0,0,0,0,0,0,0,2108,0,0
1-1_8.fastq.gz,51,0,21,0,52,0,28,0,2,0,0,0,0,71,10,0,137,1093,0,0,0,0,0,191,0,565,0,0
1-1_9.fastq.gz,694,0,318,0,628,0,229,0,126,0,12,0,0,1698,262,0,3397,11623,0,0,0,0,0,3092,0,9860,0,0
1-1_10.fastq.gz,320,0,68,0,139,0,99,0,8,0,0,0,0,1154,14,0,3377,14372,0,0,0,0,0,0,0,11032,0,2
1-2_1.fastq.gz,0,263,0,86,0,95,0,40,0,14,10,0,214,0,15,154,0,0,104,0,0,0,0,0,1023,0,439,0
1-2_2.fastq.gz,0,154,0,28,0,90,0,48,0,4,0,0,765,0,40,367,0,0,145,0,0,0,0,0,808,0,178,0
1-2_3.fastq.gz,0,60,0,14,0,40,0,16,0,10,0,0,992,0,13,488,0,0,106,0,0,0,0,0,654,0,236,0
1-2_4.fastq.gz,0,133,0,25,0,486,0,84,0,36,0,0,6174,0,28,5669,0,0,464,0,0,0,0,0,5808,0,1245,8
1-2_5.fastq.gz,0,161,0,46,0,140,0,30,0,18,0,0,5142,0,102,1830,0,0,412,0,0,0,0,0,1836,0,1179,0
1-2_6.fastq.gz,0,102,0,36,0,53,0,24,0,15,13,0,1212,0,20,739,0,0,558,0,0,0,0,0,756,0,269,0
1-2_7.fastq.gz,0,284,0,130,0,176,0,132,0,13,0,0,2978,0,20,1871,0,0,519,0,0,0,0,0,3866,0,966,644
1-2_8.fastq.gz,0,318,0,174,0,183,0,69,0,40,0,0,1400,0,27,2276,0,0,373,0,0,0,0,0,1412,0,543,96
1-2_9.fastq.gz,0,156,0,98,0,63,0,14,0,34,0,0,532,0,4,1418,0,0,208,0,0,0,0,0,725,0,0,0
1-2_10.fastq.gz,0,60,0,26,0,41,0,24,0,6,0,0,606,0,6,390,0,0,186,0,0,0,0,0,786,0,417,0
1-3_1.fastq.gz,109,4,56,0,105,0,75,0,27,0,7,0,65,191,15,124,281,449,0,0,0,0,0,0,17,731,0,0
1-3_2.fastq.gz,1523,48,504,28,1252,87,708,40,36,0,49,0,3016,7,90,5324,7972,19370,0,0,0,0,0,0,796,16754,4,246
1-3_3.fastq.gz,806,653,0,518,46,175,39,238,47,129,122,0,9873,0,168,15526,1861,2612,2898,0,0,0,0,0,4198,10939,112,4549
1-3_4.fastq.gz,948,55,276,26,542,23,394,14,372,22,72,0,1749,0,116,2836,6260,9474,9,0,0,0,0,0,538,11515,3,0
1-3_5.fastq.gz,130,2,104,0,98,0,60,0,78,0,3,0,132,0,96,428,1300,1706,0,0,0,0,0,0,34,2594,0,3
1-3_6.fastq.gz,41,0,7,0,24,0,17,0,0,0,0,0,97,0,4,288,356,1653,0,0,0,0,0,0,14,844,0,0
1-3_7.fastq.gz,870,80,246,52,619,53,513,46,221,27,98,0,877,1340,95,908,2775,2520,0,0,0,0,0,0,250,3102,0,0
1-3_8.fastq.gz,70,4,19,0,22,0,23,10,4,0,0,0,117,0,5,281,281,755,0,0,0,0,0,0,11,481,0,0
1-3_9.fastq.gz,171,0,36,0,159,0,66,0,10,0,0,0,522,426,9,963,1042,9674,0,0,0,0,0,0,22,3208,3,0
1-3_10.fastq.gz,581,70,108,42,240,68,163,55,0,22,2,0,1822,0,231,3427,5322,4194,20,0,0,0,0,0,353,11731,39,37
1-4_1.fastq.gz,5,92,0,40,0,52,0,29,0,12,0,0,455,13,10,332,0,0,234,0,0,0,0,0,427,0,30,0
1-4_2.fastq.gz,6,88,0,48,12,121,0,50,0,23,22,0,620,36,5,133,3,0,294,0,0,0,0,0,695,5,48,0
1-4_3.fastq.gz,0,2,0,0,0,0,0,0,0,0,0,0,1112,0,0,423,0,0,387,0,0,0,0,0,142,0,7,0
1-4_4.fastq.gz,53,230,20,80,31,161,25,58,0,62,10,0,1367,103,11,357,8,0,384,0,0,0,0,0,952,46,104,0
