,ESL0825,ESL0820,ESL0822,ESL0170,ESL0824,ESL0198,ESL0827,ESL0199,ESL0200,ESL0819,ESL0197,ESL0294,ESL0394,ESL0295,ESL1028,ESL0263,ESL0185,ESL0183,ESL0835,ESL0354,ESL0393,ESL0259,ESL0260,ESL0184,ESL0350,ESL0186,ESL0261,unknown
3-0_1.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
3-0_2.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
3-0_3.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,169
3-0_4.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,12
3-0_5.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,354
3-0_6.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,372
3-0_7.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,11566
3-0_8.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,47521
3-0_9.fastq.gz,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,323,622,0,0,0,0,0,0,0,212,0,176
3-1_1.fastq.gz,372,0,204,0,461,0,182,0,15,0,17,0,0,0,14,0,362,1582,0,0,0,0,0,0,0,1852,0,0
3-1_2.fastq.gz,63,0,6,0,46,0,10,0,0,0,0,0,0,4,0,0,441,1594,0,0,0,0,0,0,0,1314,0,0
3-1_3.fastq.gz,297,0,190,0,305,0,119,0,72,0,21,0,0,382,81,0,962,2489,0,0,0,0,0,0,0,3004,0,0
3-1_4.fastq.gz,1104,0,78,0,497,0,123,0,14,0,51,0,0,0,0,0,3070,6428,0,0,0,0,0,0,0,601,0,0
3-1_5.fastq.gz,353,0,324,0,323,0,150,0,82,0,28,0,0,0,99,0,878,1818,0,0,0,0,0,0,0,2390,0,0
3-1_6.fastq.gz,362,0,183,0,269,0,71,0,18,0,11,0,0,0,4,0,307,3093,0,0,0,0,0,0,0,1115,0,0
3-1_7.fastq.gz,349,0,182,0,349,0,161,0,113,0,23,0,0,0,48,0,792,2520,0,0,0,0,0,0,0,2787,0,0
3-1_8.fastq.gz,160,0,49,0,91,0,46,0,32,0,6,0,0,57,0,0,362,2542,0,0,0,0,0,0,0,964,0,0
3-1_9.fastq.gz,170,0,34,0,93,0,37,0,7,0,0,0,0,5,0,0,1362,6862,0,0,0,0,0,0,0,1876,0,0
3-1_10.fastq.gz,185,0,18,0,58,0,28,0,27,0,2,0,0,0,1,0,412,3276,0,0,0,0,0,0,0,380,0,0
3-2_1.fastq.gz,0,192,0,42,0,207,0,272,0,38,0,0,2060,0,80,806,0,0,87,0,0,0,0,0,2114,0,872,0
3-2_2.fastq.gz,0,748,0,411,16,641,0,612,0,299,7,0,2717,0,170,1281,0,0,1929,0,0,0,0,0,4856,0,732,1863
3-2_3.fastq.gz,0,302,0,48,0,298,0,622,0,112,16,0,2836,0,57,1414,0,0,1808,0,0,0,0,0,3659,0,696,1636
3-2_4.fastq.gz,0,205,0,60,0,70,0,281,0,10,0,0,5568,0,16,2266,0,0,1302,0,0,0,0,0,1238,0,136,1872
3-2_5.fastq.gz,0,188,0,35,0,89,0,392,0,11,0,0,3721,0,42,2845,0,0,2237,0,0,0,0,0,1343,0,490,1516
3-2_6.fastq.gz,0,181,0,138,0,304,0,232,0,23,0,0,2134,0,47,945,0,0,764,0,0,0,0,0,2037,0,1054,350
3-2_7.fastq.gz,0,1012,0,367,0,430,0,990,0,375,17,0,14104,0,172,5180,0,0,5780,0,0,0,0,0,12406,0,2849,19239
3-2_8.fastq.gz,0,800,0,490,0,471,0,378,0,212,11,0,2139,0,73,999,0,0,1910,0,0,0,0,0,4457,0,511,0
3-2_9.fastq.gz,0,646,0,352,0,844,0,768,0,292,5,0,2352,0,258,1736,0,0,1460,0,0,0,0,0,4214,0,738,0
3-3_1.fastq.gz,267,0,103,0,259,0,93,20,42,0,3,0,119,0,21,237,287,1559,0,0,0,0,0,52,4,1159,0,0
3-3_2.fastq.gz,180,0,146,0,155,0,76,0,74,0,43,0,6,380,21,177,222,850,0,0,0,0,0,378,0,858,0,0
3-3_3.fastq.gz,227,0,56,0,45,0,61,0,68,0,0,0,0,50,8,0,1046,2968,0,0,0,0,0,0,0,892,0,0
3-3_4.fastq.gz,109,0,10,0,52,0,26,0,0,0,0,0,2,0,0,1054,1251,12832,0,0,0,0,0,0,0,4097,0,0
3-3_5.fastq.gz,487,16,344,0,428,0,234,50,66,0,16,0,274,992,68,439,750,3359,0,0,0,0,0,96,58,2309,0,2
3-3_6.fastq.gz,553,42,458,24,542,25,254,98,245,0,42,0,14,817,40,200,506,1296,0,0,0,0,0,1398,0,1721,0,0
3-3_7.fastq.gz,120,0,12,0,63,0,34,0,19,0,8,0,2,51,3,158,377,2750,0,0,0,0,0,63,0,920,0,0
3-3_8.fastq.gz,366,3,133,0,213,0,84,78,66,0,0,0,159,361,14,1016,851,4628,0,0,0,0,0,0,16,836,0,0
3-3_9.fastq.gz,95,0,66,0,62,0,28,18,16,0,0,0,57,0,6,117,182,1132,0,0,0,0,0,0,18,601,0,0
3-4_1.fastq.gz,0,292,0,113,13,576,0,418,0,236,26,0,1508,0,27,601,0,0,801,0,0,0,0,0,1935,0,330,0
3-4_2.fastq.gz,7,282,0,52,0,186,0,1772,0,92,42,0,3578,1,8,1540,0,0,1502,0,0,0,0,0,2410,0,577,973
3-4_3.fastq.gz,39,350,0,159,41,350,3,486,0,144,7,0,1989,3,61,1404,0,0,1230,0,0,0,0,0,1774,0,536,0
3-4_4.fastq.gz,24,84,22,39,14,75,4,170,0,6,0,0,2379,13,16,1176,60,5,1337,0,0,0,0,2,1660,67,587,9
3-4_5.fastq.gz,157,1103,25,522,77,1269,19,1094,0,408,96,0,2898,13,221,1941,17,0,1486,0,0,0,0,0,5304,29,1154,1777
3-4_6.fastq.gz,0,256,0,41,0,262,0,276,0,145,3,0,1602,0,25,1519,0,0,631,0,0,0,0,0,1902,0,441,0
3-4_7.fastq.gz,32,463,0,232,27,180,0,432,0,93,0,0,1780,9,54,497,0,0,1196,0,0,0,0,0,2185,0,737,0
3-4_8.fastq.gz,16,216,0,56,12,234,0,270,0,54,4,0,873,44,45,358,0,0,704,0,0,0,0,0,1332,0,293,0
3-4_9.fastq.gz,61,253,0,15,10,45,0,637,0,8,0,0,2692,8,3,4456,0,0,1948,0,0,0,0,0,1204,0,1742,3
3-4_10.fastq.gz,0,65,0,6,0,13,0,162,0,0,0,0,1785,0,36,1274,0,0,632,0,0,0,0,0,1064,0,600,0
3-5_1.fastq.gz,0,7,60,0,186,0,78,0,51,0,4,0,104,197,30,35,204,664,0,0,0,0,0,0,17,625,0,0
3-5_2.fastq.gz,0,107,756,0,1424,39,408,60,354,0,60,0,444,0,152,376,1452,1268,0,0,0,0,0,0,71,2925,3,0
3-5_3.fastq.gz,0,9,134,0,466,5,177,20,96,0,6,0,41,403,55,113,236,1305,0,0,0,0,0,614,2,1061,0,0
3-5_4.fastq.gz,0,0,168,0,594,0,304,0,38,0,11,0,82,0,41,618,473,4874,0,0,0,0,0,0,7,1152,0,0
