Barcode,Biosample
bc1005--bc1033,3-8_1
bc1005--bc1035,3-8_2
bc1005--bc1044,3-8_3
bc1005--bc1045,3-8_4
bc1005--bc1054,3-8_5
bc1005--bc1056,3-8_6
bc1005--bc1057,3-8_7
bc1005--bc1059,3-8_8
bc1005--bc1060,3-8_9
bc1005--bc1065,3a-0
bc1005--bc1075,3b-0
bc1007--bc1033,3-9_1
bc1007--bc1035,3-9_2
bc1007--bc1044,3-9_3
bc1007--bc1045,3-9_4
bc1007--bc1054,3-9_5
bc1007--bc1056,3-9_6
bc1007--bc1057,3-9_7
bc1007--bc1059,3-9_8
bc1007--bc1060,3-9_9
bc1007--bc1062,3-9_10
bc1007--bc1065,3a-3
bc1007--bc1075,3b-3
bc1008--bc1033,3-10_1
bc1008--bc1035,3-10_2
bc1008--bc1044,3-10_3
bc1008--bc1045,3-10_4
bc1008--bc1054,3-10_5
bc1008--bc1056,3-10_6
bc1008--bc1057,3-10_7
bc1008--bc1059,3-10_8
bc1008--bc1065,am1
bc1008--bc1075,bm1
bc1012--bc1033,3-11_1
bc1012--bc1035,3-11_2
bc1012--bc1044,3-11_3
bc1012--bc1045,3-11_4
bc1012--bc1054,3-11_5
bc1012--bc1056,3-11_6
bc1012--bc1057,3-11_7
bc1012--bc1059,3-11_8
bc1012--bc1060,3-11_9
bc1012--bc1062,3-11_10
bc1012--bc1065,am4
bc1012--bc1075,bm4
bc1015--bc1033,3-12_1
bc1015--bc1035,3-12_2
bc1015--bc1044,3-12_3
bc1015--bc1045,3-12_4
bc1015--bc1054,3-12_5
bc1015--bc1056,3-12_6
bc1015--bc1065,am6
bc1015--bc1075,bm6
bc1020--bc1033,3s-0
bc1020--bc1035,3s-3
bc1020--bc1065,am7
bc1020--bc1075,bm7
bc1022--bc1033,am2
bc1022--bc1035,am3
bc1022--bc1044,am5
bc1022--bc1045,am8
bc1022--bc1054,am9
bc1022--bc1056,am10
bc1024--bc1033,bm2
bc1024--bc1035,bm3
bc1024--bc1044,bm5
bc1024--bc1045,bm8
bc1024--bc1054,bm9
bc1024--bc1056,bm10
bc1024--bc1057,eb-6
