"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"3-4_9",16626803.7040823,68960349.7890625,0,4088558.28788908,2725705.52525939,12265674.8636672,0,173627441.959023,0,2180564.42020751,0,733759927.399827,2180564.42020751,817711.657577817,1214574382.05558,0,0,530967436.320529,0,328174945.24123,0,474817902.500186,"B1-A1"
"3-4_10",0,32354641.9822819,0,2986582.33682602,0,6470928.39645639,0,80637723.0943027,0,0,0,888508245.205742,0,17919494.0209561,634150982.852726,0,0,314586672.812341,0,529620601.063815,0,298658233.682602,"B1-A1"
"3-7_1",517908574.295709,9468916.70016002,251749676.615124,9057224.66971828,495471358.636634,0,0,52696579.8965428,120419918.904209,0,31288594.3135723,26348289.9482714,0,19143679.4155409,395430195.239291,388019738.69134,1252778848.63422,0,0,3087690.22831305,583779299.166388,0,"Am4-B1"
"3-7_2",353627405.26727,11430380.7763158,104302224.583882,8215586.18297698,291474709.796053,0,0,19288767.5600329,17859969.9629934,0,34648341.7282073,496864364.370477,0,7858386.78371711,207890050.369244,212890841.958882,1826717727.81497,0,0,0,837632591.264392,0,"Am4-B1"
"3-7_3",312388277.691307,50922227.0844764,370165419.960232,5875641.58667035,320222466.473534,0,0,54839321.47559,105761548.560066,0,48310830.823734,187694106.240859,0,35906698.5852077,301289843.583152,592134102.123335,630978621.501878,0,0,46352283.6281772,1145423684.86813,2937820.79333518,"Am4-B1"
"3-7_4",387917887.973925,8724257.72150193,218729604.30337,8101096.45568036,128059640.126332,0,0,13709547.8480745,141457607.341496,0,60135062.1517811,121204866.202295,31469643.9239891,9658999.62023428,190687347.341399,224338055.695764,996123283.415774,5296870.75948331,0,20875902.4050225,1268756337.21271,0,"Am4-B1"
"3-7_5",454370790.10479,6529168.76701854,206559157.356587,14839019.9250421,587625189.031669,0,0,141267469.686401,185190968.664526,0,81021048.7907301,72711197.6327065,240392122.785683,18697165.1055531,199733208.191067,345749164.253482,1788992242.16308,0,68853052.4521955,2967803.98500843,1048228367.50498,0,"Am4-B1"
"3-7_6",484472594.825678,3244960.44759329,118116560.292396,0,301781321.626176,7787905.07422389,0,21092242.9093564,98322301.5620766,0,59058280.1461978,60356264.3252351,17198290.3722444,14277825.9694105,317681627.819383,196644603.124153,2612842152.40211,0,0,0,713566802.425763,0,"Am4-B1"
"3-7_7",453825509.062397,58890577.0072859,318745248.051935,20979768.0588456,404136584.712499,22083966.3777322,0,129927335.522324,148698706.943397,0,61098973.6450591,219367399.35214,0,64779634.7080145,409289510.200637,319849446.370821,922373662.376615,0,0,149802905.262283,1781808020.57669,10673917.0825706,"Am4-B1"
"3-7_8",150166487.947457,1294538.68920221,23560604.1434803,2589077.37840442,108482342.155145,1423992.55812243,0,4919247.01896841,776723.213521327,0,6602147.31493128,19676988.0758736,776723.213521327,258907.737840442,246221258.686261,199617865.874981,2282401162.93242,2718531.24732465,0,2330169.64056398,194569164.987092,0,"Am4-B1"
"3-7_9",341360196.025579,26887057.9108951,213514871.645343,15288719.2042344,298657221.696511,17661106.6669605,0,44284565.970886,121255359.205997,0,70644426.6678419,52192524.1799728,243301514.232903,27677853.7318037,71698821.0957201,203761723.187469,924703913.249214,0,333715836.423462,1581591.64181736,756264403.395666,0,"Am4-B1"
"3-8_1",0,0,0,0,0,0,0,0,0,0,0,3085228959.74873,0,0,1830795206.88386,0,0,2102024126.42221,0,3559879568.94084,0,779783143.672756,"Bm4-A1"
"3-8_2",0,44418941.2678755,0,39483503.3492227,0,71563849.8204661,0,0,0,0,0,1110473531.69689,2467718.95932642,17274032.7152849,372625562.858289,0,0,698364465.489376,0,688493589.65207,0,246771895.932642,"Bm4-A1"
"3-8_3",0,67979159.6603812,0,79309019.6037781,0,133125854.334913,0,0,0,0,0,2537888627.3209,0,0,441864537.792478,0,0,521173557.396256,0,1487044117.57084,0,121795994.391516,"Bm4-A1"
"3-8_4",0,106137999.091324,0,45487713.8962818,0,75812856.4938029,0,0,0,0,0,1114448990.4589,22743856.9481409,106137999.091324,447295853.313437,0,0,303251425.975212,0,1918065269.29321,0,265344997.72831,"Bm4-A1"
"3-8_5",0,54224297.3877537,0,0,0,20855498.9952899,0,0,0,0,0,1526622526.45522,0,4171099.79905798,746626864.031378,0,0,162672892.163261,0,392083381.11145,0,85507545.8806886,"Bm4-A1"
"3-8_6",0,141376091.510001,0,0,0,247408160.142502,0,0,0,0,0,4594722974.07504,0,0,1661169075.24251,0,0,2262017464.16002,0,2509425624.30252,0,883600571.937507,"Bm4-A1"
"3-8_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bm4-A1"
"3-8_8",0,182280613.626869,0,0,0,334181124.982594,0,0,0,0,0,2217747465.79358,60760204.5422898,60760204.5422898,911403068.134347,0,0,820262761.320912,0,2126607158.98014,0,607602045.422898,"Bm4-A1"
"3-8_9",0,207561270.602921,0,51890317.6507303,0,155670952.952191,0,0,0,0,0,4912283404.26913,0,103780635.301461,1314554713.8185,0,0,2144799796.23018,0,2559922337.43603,0,501606403.957059,"Bm4-A1"
