"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"1-5_1",0,327932525.513601,0,154321188.476989,0,192901485.596236,0,125385965.637553,0,115740891.357742,48225371.399059,0,0,57870445.6788708,0,733025645.265696,2541477072.73041,0,337577599.793413,0,1475696364.8112,0,"A2-0"
"1-5_2",0,339971664.617143,0,77266287.4129871,0,177712461.04987,0,154532574.825974,0,139079317.343377,0,0,0,123626059.860779,0,440417838.254026,4025573574.21663,0,1174447568.6774,0,1699858323.08572,0,"A2-0"
"1-5_3",0,118354649.380431,0,39821408.0727909,0,65095057.1592371,0,31561239.8347816,0,10356031.8207877,1479433.11725539,5424588.09660309,0,25643507.3657601,1972577.48967385,426569882.14197,1042507203.29263,0,1726005.30346462,1972577.48967385,974946424.271301,0,"A2-0"
"1-5_4",0,201285349.201862,0,78422863.3254009,0,133318867.653182,0,91493340.546301,0,27448002.1638903,0,0,188214871.980962,6535238.61045007,6535238.61045007,990742173.344231,7214903425.93688,0,613005381.660217,0,3661040669.57413,0,"A2-0"
"1-5_5",0,136621990.520331,0,35835276.2020539,0,72790404.7854221,0,49273504.7778242,0,6719114.28788511,8958819.05051349,4479409.52525674,0,3359557.14394256,5599261.90657093,311318962.005344,1272152305.17292,0,0,3359557.14394256,874604709.806379,0,"A2-0"
"1-5_6",0,496499443.59645,0,112447609.176896,0,267279317.197392,0,64008639.0699256,0,41519117.2345463,1729963.2181061,14704687.3539018,0,0,15569668.9629549,784538319.411115,6841139546.00056,0,0,5189889.65431829,2322475620.30743,0,"A2-0"
"1-5_7",0,1328580482.19538,0,717575554.554726,0,1259309574.70124,0,806384410.316449,0,520419894.7637,213141253.828136,15985594.0371102,436939570.34768,31971188.0742205,0,1525736141.98641,9436829013.24074,0,0,0,4689107584.219,0,"A2-0"
"1-5_8",0,48603420.565635,0,22995166.7192252,0,22995166.7192252,0,16723757.6139819,0,14371979.1995157,2090469.70174774,1567852.27631081,0,522617.425436935,0,3259303573.73745,2474593509.44389,0,0,0,3501536750.42747,0,"A2-0"
"1-5_9",0,0,0,0,0,0,0,0,0,0,0,0,5966279.21377497,0,5966279.21377497,59662792.1377497,5602336181.73469,0,92477327.813512,0,1145525609.04479,0,"A2-0"
"1-5_10",0,179517001.137179,0,0,0,0,0,44879250.2842948,0,0,0,0,22439625.1421474,0,0,1077102006.82308,14406239341.2586,0,0,0,2019566262.79327,0,"A2-0"
"1-6_1",177387231.606686,0,81985695.2804013,0,128195814.438446,0,114779973.392562,0,35775576.1223569,0,0,1797722700.14844,0,16397139.0560803,535142992.830256,0,0,715511522.447138,0,1806666594.17902,0,245957085.841204,"B2-0"
"1-6_2",252929295.513227,0,65981555.3512765,0,197944666.053829,0,106303616.954834,0,21993851.7837588,0,0,2837206880.10489,0,14662567.8558392,1088695663.29606,0,0,619493491.909207,0,2338679573.00636,0,755122244.57572,"B2-0"
"1-6_3",7566447.53220774,0,0,0,0,0,0,0,0,0,0,3053061579.24582,0,0,1044169759.44467,0,0,219426978.434025,0,355623034.013764,0,60531580.2576619,"B2-0"
"1-6_4",19220050.0711542,0,7674787.63598584,0,25009221.7793332,0,22197338.3782177,0,463133.736654318,0,0,151577055.81072,0,90575726.4971087,229846657.3053,0,0,29045101.4844636,0,139138606.883433,0,96828031.941942,"B2-0"
"1-6_5",128328866.141354,0,45831737.9076265,0,42915172.7680502,0,37707020.7330927,0,7083086.76754227,0,0,633936265.695033,0,0,1430991853.12494,2916565.13957623,833304.325593208,136245257.23449,0,513523790.646815,0,386444880.99385,"B2-0"
"1-6_6",75979719.6352475,0,13581535.0444119,0,31263156.1399669,0,36644519.0820924,0,1281276.89098225,0,128127.689098225,2375999866.63749,0,512510.7563929,1172112099.87056,0,0,282649682.150685,0,499313604.415783,0,348635442.03627,"B2-0"
"1-6_7",463375983.941498,0,181716072.133921,0,846796896.144072,0,350712019.218467,0,423398448.072036,0,67234946.6895507,2829319243.12515,0,101761000.394996,863151342.636124,0,0,2176958544.16437,0,4568342053.44677,0,701424038.436935,"B2-0"
"1-6_8",561830223.112945,0,159786577.215608,0,304109937.281319,0,257720285.831626,0,51544057.1663252,0,0,3752407361.70848,0,15463217.1498976,3360672527.2444,0,0,1020572331.89324,0,4288465556.23826,0,2963783287.0637,"B2-0"
"1-6_9",62362585.140694,0,35635762.9375394,0,50483997.4948475,0,35635762.9375394,0,5939293.82292324,0,0,1357128638.53796,0,2969646.91146162,537506090.974553,0,0,213814577.625237,0,1060163947.3918,0,231632459.094006,"B2-0"
"1-6_10",338486050.789149,0,181331812.922758,0,163198631.630483,0,84621512.6972873,0,84621512.6972873,0,18133181.2922758,1613853135.01255,0,66488331.4050114,936881033.434252,0,0,1384166171.97706,0,4170631697.22344,0,2441935080.69315,"B2-0"
"1-7_1",27009081.5501154,414139250.435103,0,117039353.383833,0,222824922.788452,0,227326436.380138,0,27009081.5501154,0,76525731.0586603,267840058.705311,40513622.3251731,850786068.828635,612205848.469283,1868128140.54965,0,0,13504540.7750577,2345288581.26835,0,"A2-B2"
"1-7_2",38715141.8703238,256487814.890895,0,53233320.0716952,14518178.2013714,256487814.890895,0,164539352.948876,0,36295445.5034285,9678785.46758094,331498402.264647,0,2419696.36689524,1621196565.81981,880769477.549866,3600508193.94011,0,0,58072712.8054857,0,4839392.73379047,"A2-B2"
"1-7_3",0,392619909.984495,0,105617051.808694,0,238786378.002266,0,169905692.040074,0,64288640.2313792,0,78064777.4238176,1069946655.27938,84952846.0200368,399507978.580714,984993809.259346,2250102408.09827,0,0,22960228.654064,2622058112.29411,0,"A2-B2"
"1-7_4",0,251214885.236094,0,144448559.010754,9420558.19635354,266915815.56335,0,100485954.094438,0,81644837.7017307,25121488.5236094,0,797607260.6246,62803721.3090236,602915724.566627,885532470.457233,1554392102.39833,0,1497868753.22021,0,2207550804.01218,0,"A2-B2"
"1-7_5",0,201555341.791357,0,162658696.884253,0,127298110.605068,0,91937524.3258821,0,63649055.3025338,21216351.7675113,187411107.279683,0,95473582.9538006,594057849.490315,859262246.584206,1902399541.82018,0,0,67185113.9304523,3072834947.66121,0,"A2-B2"
"1-7_6",0,332376777.0167,0,192428660.37809,0,244909204.117569,0,139948116.638611,0,0,0,174935145.798263,559792466.554443,157441631.218437,988383573.760188,1530682525.7348,5825340355.08217,0,0,43733786.4495658,3962281052.33066,0,"A2-B2"
"1-7_7",0,229322265.728718,0,71906134.1691743,0,211831584.444324,0,182680448.970335,0,29151135.4739896,3886818.06319861,54415452.8847805,0,7773636.12639722,919232471.946471,1057214513.19002,6421023440.4041,0,0,0,3645835343.2803,0,"A2-B2"
"1-7_8",17589480.3193797,439737007.984493,0,277034315.030231,0,422147527.665113,0,241855354.391471,0,145113212.634883,35178960.6387594,294623795.34961,1174097811.3186,109934251.996123,523287039.501547,1328005764.11317,1873279654.01394,0,0,127523732.315503,3482717103.23718,0,"A2-B2"
"1-7_9",0,13323268.7351557,0,0,0,26646537.4703113,0,13323268.7351557,0,0,0,0,66616343.6757783,19984903.1027335,562908104.060327,492960943.20076,2065106653.94913,0,29977354.6541003,0,1905227429.12726,0,"A2-B2"
"1-7_10",0,42708298.8534874,0,22996776.305724,0,28472199.2356583,0,15331184.203816,0,0,0,4380338.34394743,0,8760676.68789486,256249793.120925,177403702.929871,963674435.668435,0,2190169.17197372,0,467601118.216388,0,"A2-B2"
"1-8_1",366963716.591093,23299283.5930852,0,0,64073029.8809844,0,46598567.1861705,29124104.4913566,0,0,5824820.89827131,3424994688.18353,34948925.3896279,11649641.7965426,1153314537.85772,0,0,454336030.065162,0,2737665822.18752,128146059.761969,0,"B2-A2"
"1-8_2",41046609.7995667,19546004.6664603,0,0,15636803.7331683,0,0,23455205.5997524,3909200.93329206,0,0,1688774803.18217,17591404.1998143,0,631335950.726668,0,0,992937037.056184,0,936253623.52345,0,250188859.730692,"B2-A2"
"1-8_3",94012004.4849131,8058171.81299255,24174515.4389777,0,52378116.7844516,0,28203601.3454739,12087257.7194888,25517544.0744764,0,2686057.27099752,1484046642.22613,14773314.9904863,8058171.81299255,940120044.849131,0,0,261890583.922258,0,1043533249.78254,21488458.1679801,16116343.6259851,"B2-A2"
"1-8_4",33790132.0461548,0,0,0,43927171.6600012,0,30411118.8415393,0,0,0,0,1148864489.56926,6758026.40923095,13516052.8184619,848132314.358485,0,0,84475330.1153869,0,719729812.583096,0,513610007.101552,"B2-A2"
"1-8_5",41108260.0542838,0,7087631.04384204,0,17010314.5052209,0,8505157.25261045,0,0,0,0,979510610.25897,0,0,632216689.11071,0,0,283505241.753682,0,334536185.269344,0,21262893.1315261,"B2-A2"
"1-8_6",157943496.361549,5094951.49553383,68781845.1897067,17832330.2343684,115910146.523395,7642427.24330074,78971748.1807743,28022233.2254361,15284854.4866015,0,0,1947545209.16781,12737378.7388346,10189902.9910677,807549812.042112,5094951.49553383,0,145206117.622714,0,952755929.664826,16558592.3604849,90435389.0457255,"B2-A2"
"1-8_7",178316985.637337,9144460.8019147,114305760.023934,0,116591875.224412,4572230.40095735,105161299.222019,9144460.8019147,45722304.0095735,0,0,1213927171.45418,22861152.0047867,80014032.0167536,272047708.856962,0,0,418359081.687597,0,1883758925.19443,0,928162771.394342,"B2-A2"
"1-8_8",52612368.0040561,2853438.36678562,18463424.7262599,2047761.65145792,30414296.0036209,1107805.4835756,22844291.8658543,1720455.48585604,6915391.80656281,453193.152371834,50354.7947079816,1088653876.65499,209811.64461659,2954147.95620159,215577268.610654,1435111.64917748,33569.8631386544,261458879.05541,621042.468065107,464548158.578484,511940.41286448,61516774.2015842,"B2-A2"
"1-8_9",34397713.7119633,1109603.66812785,16089253.1878538,0,22746875.1966209,0,21914672.445525,0,12760442.1834703,0,3328811.00438354,449666886.508811,0,18308460.5241095,162556937.38073,0,0,186968218.079542,0,1228608661.53456,0,491554424.980637,"B2-A2"
