Sample Name,Barcode,Barcode Quality,HiFi Reads,"HiFi Read Length (mean, bp)","HiFi Read Quality (median, QV)",HiFi Yield (bp)
2-8_1,bc1005--bc1033,99.60641453466815,21576,1529,Q55,33004309
2-8_2,bc1005--bc1035,99.24914947520811,13815,1536,Q60,21231032
2-8_3,bc1005--bc1044,99.4533902887423,18494,1541,Q60,28503371
2-8_4,bc1005--bc1045,99.61693528940845,103677,1530,Q60,158663724
2-8_5,bc1005--bc1054,98.97545145152591,161313,1579,Q60,254781661
2-8_6,bc1005--bc1056,99.51213289488604,17638,1543,Q60,27216119
2-8_7,bc1005--bc1057,99.6259196044965,16991,1534,Q46,26068016
2-8_8,bc1005--bc1059,99.25949424689593,76915,1568,Q60,120674350
2-8_9,bc1005--bc1060,99.73400382269955,43948,1530,Q43,67241671
2-9_1,bc1007--bc1033,99.68577992189294,21765,1529,Q60,33289542
2-9_2,bc1007--bc1035,99.44566919648236,16602,1531,Q60,25425391
2-9_3,bc1007--bc1044,99.49094707520891,14360,1536,Q60,22065088
2-9_4,bc1007--bc1045,99.69009439723614,57311,1527,Q60,87540307
2-9_5,bc1007--bc1054,99.62973815796548,37198,1531,Q49,56978687
2-9_6,bc1007--bc1056,99.65097197193359,78243,1530,Q60,119773271
2-9_7,bc1007--bc1057,99.67955348870679,111173,1527,Q60,169825268
2-9_8,bc1007--bc1059,99.69499437570303,17780,1531,Q60,27233329
2-10_1,bc1008--bc1033,99.62533156498674,21112,1528,Q60,32279927
2-10_2,bc1008--bc1035,99.09705793145284,9891,1536,Q60,15196962
2-10_3,bc1008--bc1044,99.04430818011188,109754,1528,Q60,167781848
2-10_4,bc1008--bc1045,99.57882473289384,17596,1537,Q57,27045620
2-10_5,bc1008--bc1054,99.50172393573355,42635,1531,Q60,65316757
2-10_6,bc1008--bc1056,99.58004413985364,43045,1529,Q42,65856830
2-10_7,bc1008--bc1057,99.65324300589637,23913,1530,Q60,36596882
2-10_8,bc1008--bc1059,99.65223285814058,24341,1531,Q57,37269179
2-10_9,bc1008--bc1060,99.70868211411702,49458,1528,Q40,75603091
2-10_10,bc1008--bc1062,99.64821370042608,30510,1529,Q46,46661132
2-11_1,bc1012--bc1033,99.38194372874369,48515,1527,Q60,74083741
2-11_2,bc1012--bc1035,98.77125183135276,30715,1530,Q60,47015920
2-11_3,bc1012--bc1044,99.16509992340366,28722,1532,Q60,44002443
2-11_4,bc1012--bc1045,99.31501070394157,15882,1539,Q60,24445811
2-11_5,bc1012--bc1054,99.38923933991175,94957,1530,Q60,145296778
2-11_6,bc1012--bc1056,99.45328550810765,47116,1532,Q60,72228778
2-11_7,bc1012--bc1057,99.46730722745951,16548,1531,Q60,25341427
2-11_8,bc1012--bc1059,99.40816459193292,30767,1528,Q60,47036695
2-11_9,bc1012--bc1060,99.47801610088386,17763,1529,Q60,27170332
2-11_10,bc1012--bc1062,98.77371684516827,131278,1532,Q60,201195813
2-12_1,bc1015--bc1033,99.5911577256988,19927,1528,Q47,30465108
2-12_2,bc1015--bc1035,99.35955946438476,12621,1531,Q60,19324203
2-12_3,bc1015--bc1044,99.4433576956148,18608,1534,Q50,28558720
2-12_4,bc1015--bc1045,99.60071321753135,17386,1532,Q51,26639011
2-12_5,bc1015--bc1054,99.47353765515233,54946,1524,Q38,83739505
2-12_6,bc1015--bc1056,99.6125783941348,11321,1533,Q60,17365965
2-12_7,bc1015--bc1057,99.53617083623311,54602,1528,Q60,83441659
2-12_8,bc1015--bc1059,99.63175394846218,12030,1533,Q60,18450751
2-12_9,bc1015--bc1060,99.60707720588235,8704,1530,Q57,13321173
a4-0,bc1020--bc1033,98.66986455981942,8860,1745,Q60,15465492
a4-3,bc1020--bc1035,99.15445880043067,63156,1542,Q60,97413025
a5-0,bc1020--bc1044,99.51312180006886,90041,1517,Q60,136608995
a5-3,bc1020--bc1045,98.16433566433567,3432,2135,Q60,7329491
a6-0,bc1020--bc1054,97.32222282638247,18391,2403,Q60,44209859
a6-3,bc1020--bc1056,99.63315104873138,70037,1529,Q60,107094333
eb-4,bc1020--bc1057,99.71631205673759,1974,1582,Q60,3123683
b4-0,bc1022--bc1033,99.1923076923077,52,3038,Q48,158001
b4-3,bc1022--bc1035,99.49990258475127,61592,1509,Q60,92995638
b5-0,bc1022--bc1044,99.4453100552832,153392,1502,Q60,230472678
b5-3,bc1022--bc1045,99.67794530291306,127941,1506,Q60,192731944
b6-0,bc1022--bc1054,99.63449952436318,47305,1511,Q60,71486688
b6-3,bc1022--bc1056,99.6902149703859,60613,1520,Q60,92166872
No Name,Not Barcoded,0.0,345848,1804,Q60,624138103
