Barcode,Biosample
bc1005--bc1033,2-8_1
bc1005--bc1035,2-8_2
bc1005--bc1044,2-8_3
bc1005--bc1045,2-8_4
bc1005--bc1054,2-8_5
bc1005--bc1056,2-8_6
bc1005--bc1057,2-8_7
bc1005--bc1059,2-8_8
bc1005--bc1060,2-8_9
bc1007--bc1033,2-9_1
bc1007--bc1035,2-9_2
bc1007--bc1044,2-9_3
bc1007--bc1045,2-9_4
bc1007--bc1054,2-9_5
bc1007--bc1056,2-9_6
bc1007--bc1057,2-9_7
bc1007--bc1059,2-9_8
bc1008--bc1033,2-10_1
bc1008--bc1035,2-10_2
bc1008--bc1044,2-10_3
bc1008--bc1045,2-10_4
bc1008--bc1054,2-10_5
bc1008--bc1056,2-10_6
bc1008--bc1057,2-10_7
bc1008--bc1059,2-10_8
bc1008--bc1060,2-10_9
bc1008--bc1062,2-10_10
bc1012--bc1033,2-11_1
bc1012--bc1035,2-11_2
bc1012--bc1044,2-11_3
bc1012--bc1045,2-11_4
bc1012--bc1054,2-11_5
bc1012--bc1056,2-11_6
bc1012--bc1057,2-11_7
bc1012--bc1059,2-11_8
bc1012--bc1060,2-11_9
bc1012--bc1062,2-11_10
bc1015--bc1033,2-12_1
bc1015--bc1035,2-12_2
bc1015--bc1044,2-12_3
bc1015--bc1045,2-12_4
bc1015--bc1054,2-12_5
bc1015--bc1056,2-12_6
bc1015--bc1057,2-12_7
bc1015--bc1059,2-12_8
bc1015--bc1060,2-12_9
bc1020--bc1033,a4-0
bc1020--bc1035,a4-3
bc1020--bc1044,a5-0
bc1020--bc1045,a5-3
bc1020--bc1054,a6-0
bc1020--bc1056,a6-3
bc1020--bc1057,eb-4
bc1022--bc1033,b4-0
bc1022--bc1035,b4-3
bc1022--bc1044,b5-0
bc1022--bc1045,b5-3
bc1022--bc1054,b6-0
bc1022--bc1056,b6-3
bc1024--bc1033,blank-1
bc1024--bc1035,blank-2
