ID	Type	Experiment	Plate	CommunityCombo	Treatment	Notes
1-s0	aliquot	1	2	SW	SW	sugar water fed on day 0
1-s3	aliquot	1	2	SW	SW	sugar water used on day 3 for making dilutions of cultures to innoculate
a1-0	bacteria	1	2	1	A1	165 uL aliquot of what was fed to bees (5 uL fed)
a1-3	bacteria	1	2	1	A1	165 uL aliquot of what was fed to bees (5 uL fed)
a2-0	bacteria	1	2	2	A2	165 uL aliquot of what was fed to bees (5 uL fed)
a2-3	bacteria	1	2	2	A2	165 uL aliquot of what was fed to bees (5 uL fed)
a3-0	bacteria	1	2	3	A3	165 uL aliquot of what was fed to bees (5 uL fed)
a3-3	bacteria	1	2	3	A3	165 uL aliquot of what was fed to bees (5 uL fed)
b1-0	bacteria	1	2	1	B1	165 uL aliquot of what was fed to bees (5 uL fed)
b1-3	bacteria	1	2	1	B1	165 uL aliquot of what was fed to bees (5 uL fed)
b2-0	bacteria	1	2	2	B2	165 uL aliquot of what was fed to bees (5 uL fed)
b2-3	bacteria	1	2	2	B2	165 uL aliquot of what was fed to bees (5 uL fed)
b3-0	bacteria	1	2	3	B3	165 uL aliquot of what was fed to bees (5 uL fed)
b3-3	bacteria	1	2	3	B3	165 uL aliquot of what was fed to bees (5 uL fed)
2-0_1	bee	2	3	SW	MD	
2-0_2	bee	2	3	SW	MD	
2-0_3	bee	2	3	SW	MD	
2-0_4	bee	2	3	SW	MD	
2-0_5	bee	2	3	SW	MD	
2-0_6	bee	2	3	SW	MD	
2-0_7	bee	2	3	SW	MD	
2-0_8	bee	2	3	SW	MD	
2-0_9	bee	2	3	SW	MD	
2-0_10	bee	2	3	SW	MD	
2-1_1	bee	2	3	4	A4-0	
2-1_2	bee	2	3	4	A4-0	
2-1_3	bee	2	3	4	A4-0	
2-1_4	bee	2	3	4	A4-0	
2-1_5	bee	2	3	4	A4-0	
2-1_6	bee	2	3	4	A4-0	
2-1_7	bee	2	3	4	A4-0	
2-1_8	bee	2	3	4	A4-0	
2-1_9	bee	2	3	4	A4-0	
2-2_1	bee	2	3	4	B4-0	
2-2_2	bee	2	3	4	B4-0	
2-2_3	bee	2	3	4	B4-0	
2-2_4	bee	2	3	4	B4-0	
2-2_5	bee	2	3	4	B4-0	
2-2_6	bee	2	3	4	B4-0	
2-2_7	bee	2	3	4	B4-0	
2-2_8	bee	2	3	4	B4-0	
2-2_9	bee	2	3	4	B4-0	
2-2_10	bee	2	3	4	B4-0	
2-3_1	bee	2	3	4	A4-B4	
2-3_2	bee	2	3	4	A4-B4	
2-3_3	bee	2	3	4	A4-B4	
2-3_4	bee	2	3	4	A4-B4	
2-3_5	bee	2	3	4	A4-B4	
2-3_6	bee	2	3	4	A4-B4	
2-3_7	bee	2	3	4	A4-B4	
2-3_8	bee	2	3	4	A4-B4	
2-3_9	bee	2	3	4	A4-B4	
2-3_10	bee	2	3	4	A4-B4	
2-4_1	bee	2	3	4	B4-A4	
2-4_2	bee	2	3	4	B4-A4	
2-4_3	bee	2	3	4	B4-A4	
2-4_4	bee	2	3	4	B4-A4	
2-4_5	bee	2	3	4	B4-A4	
2-4_6	bee	2	3	4	B4-A4	
2-4_7	bee	2	3	4	B4-A4	
2-4_8	bee	2	3	4	B4-A4	
2-4_9	bee	2	3	4	B4-A4	
2-4_10	bee	2	3	4	B4-A4	
2-5_1	bee	2	3	5	A5-0	
2-5_2	bee	2	3	5	A5-0	
2-5_3	bee	2	3	5	A5-0	
2-5_4	bee	2	3	5	A5-0	
2-5_5	bee	2	3	5	A5-0	
2-5_6	bee	2	3	5	A5-0	
2-5_7	bee	2	3	5	A5-0	
2-6_1	bee	2	3	5	B5-0	
2-6_2	bee	2	3	5	B5-0	
2-6_3	bee	2	3	5	B5-0	
2-6_4	bee	2	3	5	B5-0	
2-6_5	bee	2	3	5	B5-0	
2-6_6	bee	2	3	5	B5-0	
2-6_7	bee	2	3	5	B5-0	
2-6_8	bee	2	3	5	B5-0	
2-7_1	bee	2	3	5	A5-B5	
2-7_2	bee	2	3	5	A5-B5	
2-7_3	bee	2	3	5	A5-B5	
2-7_4	bee	2	3	5	A5-B5	
2-7_5	bee	2	3	5	A5-B5	
2-7_6	bee	2	3	5	A5-B5	
